Russel Charles Fitzhenry,August 10  1963  Graaff-Reinet  Cape Province ,54 years 241 days,Eastern Province Country Districts,,Right-hand bat,Right-arm offbreak,,
Carl Fitzpatrick,June 27  1996  Johannesburg ,21 years 285 days,St Andrew's School,,Right-hand bat,Right-arm offbreak,St Andrew's School,
George Ignatius Fitzpatrick,April 9  1925  Kimberley  Cape Province  South Africa ,92 years 364 days,,,,,Umpire,
George Thomas Fitzpatrick,December 13  1868  Cape Town  Cape Province ,,Western Province,,,,May 20  1960  Cape Town  Cape Province (aged 91 years 159 days) ,
Robert John Flack,April 5  1917  Port Elizabeth  Cape Province ,101 years 3 days,Eastern Province,,,,,
Franklin Frederick Flanagan,February 16  1918  Kimberley  Cape Province ,,Griqualand West ,,,,October 30  1968  Johannesburg  Transvaal (aged 50 years 257 days) ,
John Patrick Douglas Flanagan,September 20  1947  Sandringham  Johannesburg  Transvaal ,70 years 200 days,Transvaal,,Right-hand bat,Right-arm medium,,
Calvin Flanegan,June 8  2000  Bloemfontein ,17 years 304 days,,,Right-hand bat,,ST Andrews School,
Graham Fleeton,October 22  1938  Kimberley  Cape Province ,79 years 168 days,Griqualand West,,Right-hand bat,Right-arm medium,,
Shaun Russell Flegg,November 14  1968  Uitenhage  Cape Province ,49 years 145 days,Eastern Province,,Right-hand bat,Right-arm medium,,
Frederick Fleischer,June 16  1868  Dordrecht  Cape Province ,,Transvaal,,,,July 31  1938  Johannesburg  Transvaal (aged 70 years 45 days) ,
Konrad Fleischhauer,January 14  1997 ,21 years 84 days,Menlopark High School,,,,,
Reuben Fleischhauer,May 20  1998 ,19 years 323 days,Menlopark High School,,,,,
Kenneth Mackenzie Fleming,August 26  1909  Gwelo (now Gweru)  Rhodesia ,,Eastern Province,,Left-hand bat,,April 14  1996  Grahamstown  Cape Province (aged 86 years 232 days) ,
Nolan George Flemmer,February 28  1938  East London  Cape Province ,80 years 39 days,Border,,Right-hand bat,,Wicketkeeper,
Oswald Nolan Flemmer,January 7  1907  East London  Cape Province ,,Border ,,Right-hand bat,,Wicketkeeper,
Brandon Flemming,September 29  1995 ,22 years 191 days,Easterns Under-17s,,Right-hand bat,Right-arm medium,Springs Boys High,
Conner Fletcher,June 9  1998  Zimbabwe ,19 years 303 days,Mpumalanga Under-15s,,Right-hand bat,Right-arm medium,Uplands,
G F Fletcher,date unknown ,,Griqualand West,,,,,
Mark Andrew Fletcher,October 17  1962  Kimberley  Cape Province ,55 years 173 days,Griqualand West,,Right-hand bat,,Wicketkeeper,
Bertram Harold Floquet,October 12  1883  Cathcart  Cape Province ,,Transvaal,,,,Brother - ,
Claude Eugene Floquet,November 3  1884  Aliwal North  Cape Colony ,,South Africa ,,Right-hand bat,Right-arm medium,Brother - ,
S Florence,date unknown ,,Griqualand West Women,,,,,
Calvin Anthony Flowers,July 20  1985  Durban  Natal ,32 years 262 days,KwaZulu-Natal,,Right-hand bat,Right-arm offbreak,Durban High School,
Gareth Edward Flusk,November 8  1974  Johannesburg  Transvaal ,43 years 151 days,Easterns ,,Left-hand bat,Left-arm medium,,
Charles Andrew Chomse Fock,July 3  1877  Lydenburg  Transvaal ,,Western Province,,,,Brother - ,
Phaphama Fojela,August 28  1984  King William's Town ,33 years 223 days,Border ,,Right-hand bat,Right-arm medium-fast,,
Cecil Joseph Patrick Foley,August 8  1909  Kimberley  Cape Province ,108 years 243 days,Orange Free State,,,,,
William Bernard Henry Foley,October 3  1906  Cape Town  Cape Province ,,Transvaal ,,Right-hand bat,,August 13  1963  Bergvliet  Cape Town  Cape Province (aged 56 years 314 days) ,
J Folscher,date unknown ,,,,,,Umpire,
John Hasson Folster,February 5  1892  Sydney  New South Wales  Australia ,,Transvaal,,,,May 8  1954  Johannesburg  Transvaal (aged 62 years 92 days) ,
Roxannie Fondling,date unknown ,,Western Province Women,,,,,
Alan Forbes,October 27  1927  Johannesburg  Transvaal ,90 years 163 days,Transvaal,,,,,
Adam Forbes,August 28  1997 ,20 years 223 days,Easterns Under-15s,,Right-hand bat,Right-arm medium,CBC,
Burton Sydney Forbes,February 6  1971  Port Elizabeth  Cape Province ,47 years 61 days,Border ,,Right-hand bat,Right-arm fast-medium,,
G Forbes,date unknown ,,Eastern Province Women,,,,,
John Geddie Forbes,July 12  1931  East London  Cape Province ,86 years 270 days,Border,,Left-hand bat,Left-arm bowler,,
John Henry Vivian Forbes,July 3  1923  Cambridge  England ,,Orange Free State,,,,April 16  2009 (aged 85 years 287 days) ,
Keeran Forbes,May 26  1999 ,18 years 317 days,Eastern Province Under-13s,,Right-hand bat,,West End Primary,
L Forbes,date unknown ,,,,,,Umpire,
Ryan Forbes,February 5  1999 ,19 years 62 days,Grey High School,Allrounder,Right-hand bat,Right-arm medium,,
Greg Ford,date unknown ,,KwaZulu-Natal Inland Under-19s,,,,,
Graham Xavier Ford,November 16  1960  Pietermaritzberg  Natal ,57 years 143 days,Natal B,,Right-hand bat,Right-arm offbreak,Coach,
J Ford,date unknown ,,South African Universities,,,,,
Mathew Ford,April 10  1994  Pietermaritzburg ,23 years 363 days,KwaZulu-Natal Inland Under-19s,,Right-hand bat,Right-arm offbreak,,
Mark John Pearce Ford,October 1  1961  Grahamstown  Cape Province ,56 years 189 days,Border ,,Right-hand bat,Right-arm offbreak,,
Andrew John Forde,December 13  1966  Pietermaritzberg  Natal ,51 years 116 days,Natal,,Right-hand bat,Right-arm offbreak,,
Keith Adrian Forde,July 12  1969  Pietermaritzberg  Natal ,48 years 270 days,KwaZulu-Natal ,,Right-hand bat,Legbreak,Wicketkeeper,
Charles Edie Forder,November 29  1879  Pietermaritzberg  Natal ,,Natal,,,,May 11  1954  Pietermaritzburg  Natal (aged 74 years 163 days) ,
Brett Fordyce,January 15  1999 ,19 years 83 days,Border Under-13s,,Right-hand bat,Right-arm medium,Hudson Park,
Denis Joseph Foreman,February 1  1933  Athlone  Cape Town  Cape Province ,85 years 66 days,Sussex ,,Right-hand bat,Right-arm offbreak,,
Clive James Forman,September 11  1931  Johannesburg  Transvaal ,86 years 209 days,Northerns,,,,,
James Edward Forrest,December 14  1921  Ipswich  Suffolk  England ,,Transvaal,,Right-hand bat,Right-arm medium,July 4  2010  Cape Town (aged 88 years 202 days) ,
Dian Forrester,June 7  2000 ,17 years 305 days,Limpopo Under-13s,,Left-hand bat,Right-arm fast,Pietersburg OOS,
Marco Forrester,May 23  2003  Polokwane ,14 years 320 days,Limpopo Under-13s,,Left-hand bat,Right-arm medium,L/S Pietersburg -Oos,
Barrie Forrester-Smith,May 5  1995 ,22 years 338 days,KwaZulu-Natal Inland Under-17s ,,Right-hand bat,Right-arm medium,,
Anslin Fortuin,February 3  2000 ,18 years 64 days,Northerns Under-13s,,Right-hand bat,Right-arm medium,Lynnwood Ridge,
Ashton Fortuin,August 25  1996 ,21 years 226 days,Northerns Under-17s,,Right-hand bat,Right-arm medium,PBHS,
Byron Clark Fortuin,September 17  1997 ,20 years 203 days,Boland Under-15s ,,Right-hand bat,Right-arm medium,New Orleans Secondary School,
