Robert Maskew Cowper,October 5  1940  Kew  Melbourne  Victoria ,77 years 185 days,Australia ,,Left-hand bat,Right-arm offbreak,Brother - ,
AR Cox,date unknown ,,,,,,Umpire,
Brad Cox,May 20  1981 ,36 years 323 days,Australia Under-15s,,Right-hand bat,Right-arm fast-medium,,
Daryl Cox,date unknown ,,,,,,Referee,
Douglas Edward Cox,July 9  1919  West End  Queensland ,,Queensland,,Right-hand bat,Right-arm fast,January 9  1982  Dakabin  Queensland (aged 62 years 184 days) ,
Jamie Cox,October 15  1969  Burnie  Tasmania ,48 years 175 days,Somerset ,,Right-hand bat,Right-arm offbreak,,
John Cox,date unknown ,,Tasmania ,,,,August 6  1823  Norfolk Plains  Tasmania ,
L Cox,date unknown ,,,,,,Umpire,
LW Cox,date unknown ,,,,,,Umpire,
Mat Cox,date unknown ,,Australian Universities,,Right-hand bat,Right-arm medium,,
Michael John Cox,April 26  1957  Newcastle  New South Wales ,60 years 347 days,Western Australia,,Right-hand bat,,Wicketkeeper,
Peter John Cox,January 13  1954  Mildura  Victoria ,64 years 85 days,Victoria,,Left-hand bat,Slow left-arm orthodox,,
Richard Cox,April 21  1830  Hobart  Tasmania ,,Tasmania,,,,March 27  1865  Fingal  Tasmania (aged 34 years 340 days) ,
Timothy Charles Coyle,July 22  1960  Launceston  Tasmania ,57 years 260 days,Tasmania,,Left-hand bat,,Coach,
Thomas Harold Coyne,October 12  1873  near Edgerton  Victoria ,,Western Australia,,Left-hand bat,Right-arm fast-medium,April 8  1955  Christchurch  Canterbury  New Zealand (aged 81 years 178 days) ,
Adam L Coyte,March 30  1991  Camden  New South Wales ,27 years 9 days,Campbelltown-Camden ,,Left-hand bat,Right-arm medium,Brother - ,
Scott James Coyte,March 7  1985  Liverpool  Sydney  New South Wales ,33 years 32 days,Australia Under-19s ,Bowler,Left-hand bat,Right-arm fast-medium,Brother - ,
Sarah Jane Coyte,March 30  1991  Camden  New South Wales ,27 years 9 days,Adelaide Strikers Women ,,Right-hand bat,Right-arm medium,Brother - ,
A Crabbe,date unknown ,,Sandhurst,,,,,
WJ Craddock,date unknown ,,,,,,Umpire,
Anthony Ronald Crafter,December 5  1940  Mount Barker  South Australia ,77 years 124 days,,,,,Umpire,
Andrew Ross Craig,October 3  1969  East Fremantle  Western Australia ,48 years 187 days,,,Right-hand bat,Right-arm slow-medium,Umpire,
Hartley Samuel Craig,September 19  1917  Prospect  Adelaide  South Australia ,,Dominions,,Left-hand bat,,Wicketkeeper,
Ian David Craig,June 12  1935  Yass  New South Wales ,,Australia ,Batsman,Right-hand bat,,North Sydney Boys' High; University of Sydney,
Reginald Jack Craig,August 3  1916  North Adelaide  South Australia ,,South Australia,,Right-hand bat,Legbreak googly,Wicketkeeper,
Shawn Andrew Jacob Craig,June 23  1973  Carlton  Melbourne  Victoria ,44 years 289 days,Victoria,,Left-hand bat,Legbreak googly,Umpire,
John Edwin Craigie,August 25  1866  Adelaide  South Australia ,,South Australia,,Right-hand bat,,October 13  1948  Gilberton  South Australia (aged 82 years 49 days) ,
Drew Adam Crane,June 24  1977  Pinaroo  South Australia ,40 years 288 days,South Australia Country ,,Right-hand bat,Right-arm medium,,
Frederick Robert Crane,July 10  1942  Mullumbimby  New South Wales ,75 years 272 days,Queensland,,Left-hand bat,Right-arm offbreak,,
Rian Ashley Crane,October 23  1983  Pinaroo  South Australia ,34 years 167 days,South Australia Under-17s,,Left-hand bat,Right-arm medium,,
Michael Robert Craig Cranmer,March 16  1989  Adelaide  South Australia ,29 years 23 days,Australia Under-19s ,,Right-hand bat,Right-arm fast-medium,,
Harold Cranney,October 23  1886  Parramatta  Sydney  New South Wales ,,New South Wales,,Right-hand bat,Right-arm bowler,January 29  1971  Sydney  New South Wales (aged 84 years 98 days) ,
AE Crapp,date unknown ,,,,,,Umpire,
Christy Regina Craven,September 1  1977 ,40 years 219 days,Western Australia Women,,Right-hand bat,Right-arm medium,,
Arron Wesley Crawford,September 29  1983  Midland  Perth  Western Australia ,34 years 191 days,Victoria Under-23s ,Bowler,Left-hand bat,Left-arm fast-medium,1.94 m ,
Lachlan James Crawford,October 9  1985  Geelong  Victoria ,32 years 181 days,Victoria Under-15s,,Right-hand bat,Left-arm fast-medium,,
William Patrick Anthony Crawford,August 3  1933  Dubbo  New South Wales ,,Australia ,,Right-hand bat,Right-arm fast,January 21  2009 (aged 75 years 171 days) ,
Ben Crawley,October 30  1984  Westmead Hospital  Sydney  New South Wales ,33 years 160 days,New South Wales Under-16s ,,Right-hand bat,Right-arm offbreak,,
Phil Creek,February 23  1954 ,64 years 44 days,,,,,Umpire,
Brendan Neville Creevey,February 18  1970  Charleville  Queensland ,48 years 49 days,Queensland,,Right-hand bat,Right-arm fast-medium,,
Ernest Albert Cresswick,October 16  1867  Newcastle  New South Wales ,,Queensland,,,,September 23  1939  Waverley  New South Wales (aged 71 years 342 days) ,
Henry Creswick,April 13  1824  Sheffield  Yorkshire  England ,,Victoria,,,,October 24  1892  Hawthorn  Melbourne  Victoria (aged 68 years 194 days) ,
Glen Crew,date unknown ,,,,,,Umpire,
Clare Cecelia Crewdson,August 30  1988  Camperdown  Sydney  New South Wales ,29 years 221 days,New South Wales Under-19s Women,,Right-hand bat,Right-arm fast-medium,,
Brett Matthew Crichton,December 20  1971  Kempsey  New South Wales ,46 years 109 days,,,Right-hand bat,Right-arm fast-medium,,
Ronald James Crippin,April 23  1947  Darlinghurst  Sydney  New South Wales ,70 years 350 days,New South Wales,,Right-hand bat,,,
Alan Edward Cripps,August 11  1930  Lakemba  New South Wales ,87 years 240 days,Western Australia,,Right-hand bat,,,
Nicholas J Cripps,date unknown ,,Tasmania Under-17s,,,,,
Desmond Robert Cristofani,November 14  1920  Waverley  Sydney  New South Wales ,,New South Wales,,Right-hand bat,Legbreak googly,August 22  2002  Canberra  ACT (aged 81 years 281 days) ,
L Crocker,date unknown ,,Australian Universities,,,,,
Julia Crocket-Grills,1994 ,24 years,Victoria Under-15s Women,,Right-hand bat,Right-arm medium,,
Robert Maxwell Crockett,1863  Hepburn  Victoria ,,,,,,Umpire,
A Croft,date unknown ,,,,,,Umpire,
Gary Crombie,date unknown ,,,,,,Umpire,
Colin Neil Crompton,August 16  1937  Dandenong  Victoria ,,Victoria,,Left-hand bat,Legbreak,December 11  2003  Malvern  Melbourne  Victoria (aged 66 years 117 days) ,
Xavier A Crone,December 19  1997 ,20 years 110 days,Victoria Under-23s,,,,,
Peter Michael Cronin,December 21  1947 ,70 years 108 days,,,,,Umpire,
Andrew Richard Crook,October 14  1980  Modbury  South Australia ,37 years 176 days,Lancashire ,Allrounder,Right-hand bat,Right-arm offbreak,Brother - ,
Steven Paul Crook,May 28  1983  Adelaide  South Australia ,34 years 315 days,Lancashire ,,Right-hand bat,Right-arm fast-medium,Brother - ,
S Cross,date unknown ,,Victoria Country,,,,,
Ernest Eric Crossan,November 3  1914  Footscray  Melbourne  Victoria ,,New South Wales,,Right-hand bat,Right-arm medium,August 10  2009  Batemans Bay  New South Wales (aged 94 years 280 days) ,
HP Crossley,date unknown ,,,,,,Umpire,
Adam John Crosthwaite,September 22  1984  Mercy Hospital  Melbourne  Victoria ,33 years 198 days,Adelaide Strikers ,,Right-hand bat,Legbreak googly,Brother - ,
James Lee Crosthwaite,August 23  1987  Melbourne  Victoria  Australia ,30 years 228 days,Scotland ,,Right-hand bat,,Brother - ,
Edward Robert Crouch,January 11  1873  Holborn  London  England ,,Queensland,,Right-hand bat,Legbreak,August 8  1962  South Brisbane  Queensland (aged 89 years 209 days) ,
George Stanton Crouch,August 20  1878  Strand  London  England ,,Queensland,,Right-hand bat,,August 21  1952  Indooroopilly  Queensland (aged 74 years 1 days) ,
Matthew Crow,date unknown ,,Queensland Under-17s,,,,,
Thomas Leslie Crow,August 23  1931  Hawthorn  Melbourne  Victoria ,86 years 228 days,Victoria,,Right-hand bat,Left-arm medium,,
Ian Bruce Crowden,February 22  1933  Deloraine  Tasmania ,85 years 45 days,Tasmania,,Right-hand bat,Right-arm offbreak,,
Arthur Beaumont Crowder,July 4  1892  Sorell  Tasmania ,,Tasmania,,Right-hand bat,,Wicketkeeper,
Jonathon Francis Crowe,October 16  1990 ,27 years 174 days,Northern Territory Under-19s ,,Right-hand bat,Legbreak googly,,
Murray Peter Crowe,April 22  1992 ,25 years 351 days,University of New South Wales,,Right-hand bat,Right-arm offbreak,University of New South Wales,
Andrew R Crozier,date unknown ,,,,,,Umpire,
Timothy Dale Cruickshank,May 19  1982  Crows Nest  Sydney  New South Wales ,35 years 324 days,Manly-Warringah ,,Right-hand bat,,,
CR Cruickshanks,date unknown ,,,,,,Umpire,
Bruce Andrew Cruse,April 26  1967  Launceston  Tasmania ,50 years 347 days,Tasmania,,Right-hand bat,Slow left-arm orthodox,,
Gregory Neil Cubit,December 15  1959  Launceston  Tasmania ,58 years 114 days,Laidley (Lockyear Association),,Right-hand bat,Right-arm medium,Umpire,
Alan Gordon Cuff,June 7  1908  Launceston  Tasmania ,,Tasmania,,Right-hand bat,,Father - ,
John Alexander Cuffe,June 26  1880  Coonamble  New South Wales ,,New South Wales ,,Right-hand bat,Slow left-arm orthodox,May 5  1931  Burton-on-Trent  Staffordshire  England (aged 50 years 313 days) ,
Penny Cula-Reid,February 2  1988  Melbourne  Victoria ,30 years 65 days,Victoria Under-19s Women,,Right-hand bat,Right-arm medium,,
Darren Anthony Cullen,date unknown ,,Victoria Country,,,Left-arm fast-medium,,
Daniel James Cullen,April 10  1984  Woodville  Adelaide  South Australia ,33 years 363 days,Australia ,Bowler,Right-hand bat,Right-arm offbreak,1.83 m ,
Daniel Robert Cullen,April 27  1889  Balmain  Sydney  New South Wales ,,New South Wales,,Right-hand bat,Right-arm fast,July 21  1971  Concord  Sydney  New South Wales (aged 82 years 85 days) ,
Geoffrey Ian Cullen,March 16  1977  Cottesloe  Perth  Western Australia ,41 years 23 days,Western Australia,,Left-hand bat,Right-arm offbreak,,
TL Cullen,date unknown ,,,12th man,,,,
