Raja Nadeem Akhtar,February 24  1982  Dera Ismail Khan  North-West Frontier Province ,36 years 43 days,Abbottabad ,,Right-hand bat,,,
Rabia Batool,date unknown ,,Central Zone Greens Women,,,,,
Rabia Khan,June 5  1985 ,32 years 307 days,Pakistan Women,,Right-hand bat,Right-arm medium,,
Rabiya Shah,April 27  1992  Karachi ,25 years 346 days,Knights Women ,,Left-hand bat,Right-arm offbreak,Occasional wicketkeeper,
Rab Nawaz Alizai,December 3  1964  Dera Ismail Khan  North-West Frontier Province ,53 years 126 days,Dera Ismail Khan,,Right-hand bat,Right-arm fast-medium,,
Rab Nawaz,October 17  1940  Lahore  Punjab ,77 years 173 days,Pakistan Railways,,Right-hand bat,Right-arm offbreak,Umpire,
Rab Nawaz,date unknown ,,Sind University,,Right-hand bat,Right-arm medium-fast,,
Raeesa Ilyas,date unknown ,,Punjab Women Greens,,Right-hand bat,Slow left-arm orthodox,,
Raeesuddin,date unknown ,,Dacca University,,Right-hand bat,,,
Mohammad Raees-ul-Ghani,November 7  1926  Bareilly  Uttar Pradesh  India ,,Karachi,,Right-hand bat,Slow left-arm orthodox,Brother - ,
Raees-ur-Rehman,date unknown ,,Allied Bank,,,,,
Raees Ahmed,December 13  1994  Faisalabad ,23 years 116 days,Faisalabad,,Right-hand bat,Right-arm offbreak,,
Raees Ahmed,September 2  1972  Lyallpur (now Faisalabad)  Punjab ,45 years 218 days,Faisalabad,,Right-hand bat,,,
Raees Ahmed Arain,February 1  1979  Hyderabad  Sind ,39 years 66 days,Hyderabad (Pakistan),,Right-hand bat,Right-arm offbreak,,
Raees Ahmed,date unknown ,,Hyderabad (Pakistan) ,,Right-hand bat,Legbreak,,
Raees Ahmed,date unknown ,,Income Tax,,,,,
Raees Ahmed,October 9  1959  Muscat  Oman ,58 years 181 days,Habib Bank Limited ,,Right-hand bat,Legbreak,,
Raees Amjad,February 6  1975  Lahore  Punjab ,43 years 61 days,Hyderabad (Pakistan) ,,Right-hand bat,Right-arm fast-medium,,
Raees Haider,date unknown ,,Sialkot Stallions,,,,,
Raees Khan,April 9  1992 ,25 years 364 days,Government College Murree,,Right-hand bat,,,
Raees Mohammad,December 25  1932  Junagadh  Gujarat  India ,85 years 104 days,Karachi ,,Right-hand bat,Legbreak googly,Brother - ,
Rafaiy Safdar,April 7  1986 ,32 years 1 days,Pakistan International Airlines,,Left-hand bat,Slow left-arm orthodox,,
Rafatullah Mohmand,November 6  1976  Peshawar  North-West Frontier Province ,41 years 153 days,Pakistan ,Opening batsman,Right-hand bat,Slow left-arm orthodox,Brother - ,
Rafat Alam,January 1  1962  Karachi  Sind ,56 years 97 days,House Building Finance Corporation ,,Right-hand bat,Right-arm fast-medium,,
Rafat Ijaz,December 15  1966  Nairobi  Kenya ,51 years 114 days,Pakistan University Grants Commission ,,Right-hand bat,,,
Rafat Nawaz,date unknown ,,Hazara Division Cricket Association,,,,,
Rafat Ali Wahidi,date unknown ,,Karachi,,Right-hand bat,,,
Rafay Ahmed,September 7  1996  Karachi  Sind ,21 years 213 days,Bahawalpur ,,Right-hand bat,Right-arm medium-fast,,
Raffay Ahmed,date unknown ,,Islamia University Bahawalpur,,,,,
Rafiq Ahmed,date unknown ,,Bahawalpur,,,,,
Mohammad Rafiq Ahmed,September 6  1967  Peshawar  North-West Frontier Province ,50 years 214 days,Pakistan Railways ,,Right-hand bat,,Wicketkeeper,
Rafiq Ahmed,date unknown ,,Quetta,,,,,
Rafiq Ahmed,date unknown ,,Pakistan Customs ,,,,,
Rafiq Butt,date unknown ,,Lahore,,Right-hand bat,Legbreak googly,,
Rafiq Ahmed Kazi,date unknown ,,East Pakistan ,,Right-hand bat,Right-arm fast-medium,,
Mohammad Rafiq Malik,June 9  1959  Dera Ismail Khan  North-West Frontier Province ,58 years 303 days,Dera Ismail Khan,,Right-hand bat,Slow left-arm orthodox,,
Rafiq Patni,May 1  1963  Karachi  Sind ,54 years 342 days,Karachi,,Right-hand bat,,Wicketkeeper,
Rafiullah,date unknown ,,Pakistan Universities,,,,,
Rafiullah,date unknown ,,,,,,,
Rafiullah Khan,March 9  1965  Karachi  Sind ,53 years 30 days,Karachi,,Right-hand bat,,Wicketkeeper,
Rafi-us-Samad,date unknown ,,Peshawar University,,,,,
Rafi Umar,date unknown ,,Dacca University ,,,,,
Rahatullah,June 23  1989  Peshawar  North-West Frontier Province ,,Pakistan Under-19s,,Right-hand bat,Right-arm fast-medium,February 11  2008  Peshawar  North-West Frontier Province (aged 18 years 233 days) ,
Rahat Abbas,March 26  1970  Lahore  Punjab ,48 years 13 days,Lahore,,Right-hand bat,Right-arm offbreak,,
Rahat Ali,September 12  1988  Multan  Punjab ,29 years 208 days,Pakistan ,Bowler,Right-hand bat,Left-arm fast-medium,,
Khwaja Rahat Latif,February 1  1933  Sialkot  Punjab ,85 years 66 days,Services (Pakistan),,,,,
Raheel,date unknown ,,Bahawalpur,,,,,
Raheel Ameer,September 25  1986  Sargodha  Punjab ,31 years 195 days,Faisalabad Wolves,,Right-hand bat,Right-arm offbreak,,
Raheel Hussain,May 6  1984  Lahore  Punjab ,33 years 337 days,Evacuee Trust Property Board,,Right-hand bat,,,
Raheel Majeed,September 9  1983  Islamabad ,34 years 211 days,AJK Jaguars ,,Right-hand bat,Legbreak,,
Raheel Sarver,date unknown ,,Mighty Rhinos,,,,,
Raheel Sayyani,September 4  1980  Karachi  Sind ,37 years 216 days,Karachi,,Right-hand bat,Right-arm fast-medium,,
