Sarah Harris,February 4  1987  Rockhampton  Queensland ,31 years 63 days,Queensland Women,,,,,
Colin William Harrison,May 10  1928  West Croydon  South Australia ,89 years 333 days,South Australia,,Right-hand bat,Legbreak googly,,
Ernest Weedon Harrison,July 22  1874  Campbell Town  Tasmania ,,Tasmania,,Right-hand bat,,November 14  1968  New Norfolk  Tasmania (aged 94 years 115 days) ,
Mark Bradley Harrison,February 17  1958 ,60 years 50 days,Australia Young Cricketers,,Right-hand bat,Right-arm medium-fast,,
Matthew Mark Harrison,September 24  1985  Baxter House  Geelong  Victoria ,32 years 196 days,Australia Under-19s ,,Left-hand bat,Legbreak googly,1.83 m ,
RJ Harrison,date unknown ,,,,,,Umpire,
Mark Andrew Harrity,March 9  1974  Semaphore  Adelaide  South Australia ,44 years 30 days,South Australia ,,Right-hand bat,Left-arm fast,,
James Harrod,date unknown ,,,,,,Umpire,
Tenile Harrod,date unknown ,,South Australia Second XI Women,,,,,
Hubert Walton Harrold,March 9  1898  East Perth  Western Australia ,,Western Australia,,Right-hand bat,Right-arm fast,April 14  1968  Hollywood  Western Australia (aged 70 years 36 days) ,
Brett David Harrop,December 11  1979  Frankston  Victoria ,38 years 118 days,Victoria,,Right-hand bat,Right-arm fast-medium,,
John Harry,August 1  1857  Ballarat  Victoria ,,Australia ,,Right-hand bat,Right-arm offbreak,Wicketkeeper,
J Harry,date unknown ,,Sandhurst,,,,,
M Harry,date unknown ,,Tasmania,12th man,,,,
Rex Alexander Harry,October 19  1936  Melbourne  Victoria ,81 years 171 days,Victoria,,Right-hand bat,Legbreak,,
Harold William Hart,January 4  1889  Fitzroy South  Melbourne  Victoria ,,Victoria,,Left-hand bat,Left-arm medium,January 2  1953  Yarraville  Victoria (aged 63 years 364 days) ,
J Hart,date unknown ,,,,,,Umpire,
Jeremy William Hart,August 21  1985 ,32 years 230 days,Geelong ,,Right-hand bat,Legbreak googly,,
Preston Graham Hart,September 12  1972  Wewak  Papua New Guinea ,45 years 208 days,Australian Capital Territory,,Right-hand bat,Right-arm fast-medium,,
Trevor Herbert Hart,November 18  1935  Morwell  Victoria ,82 years 141 days,Victoria,,Right-hand bat,Right-arm fast-medium,,
James Thomas Harten,November 11  1924  Brisbane  Queensland ,,Queensland,,Right-hand bat,,September 11  2001  Brisbane  Queensland (aged 76 years 304 days) ,
Phil Hartig-Franc,October 28  1991  Sydney ,26 years 162 days,University of New South Wales,,Right-hand bat,Right-arm medium,University of New South Wales,
Michael Joseph Hartigan,December 12  1879  Chatswood  Sydney  New South Wales ,,Australia ,,Right-hand bat,Right-arm bowler,Administrator,
Thomas Joseph Hartigan,December 8  1878  Chatswood  Sydney  New South Wales ,,New South Wales,,Right-hand bat,,May 2  1963  Mosman  Sydney  New South Wales (aged 84 years 145 days) ,
Albert Ernst Victor Hartkopf,December 28  1889  North Fitzroy  Melbourne  Victoria ,,Australia ,,Right-hand bat,Legbreak,May 20  1968  Kew  Melbourne  Victoria (aged 78 years 144 days) ,
Byron William Hartley,June 1  1958  Mount Morgan  Queensland ,59 years 311 days,North Queensland ,,Right-hand bat,,Wicketkeeper,
Christopher Desmond Hartley,May 24  1982  Nambour  Queensland ,35 years 319 days,Brisbane Heat ,,Left-hand bat,,1.69 m ,
Morgan Hartney,January 1  1980 ,38 years 97 days,Darwin Cricket Club ,,Right-hand bat,Right-arm fast-medium,,
Katie-Jane Hartshorn,June 20  1994 ,23 years 292 days,Perth Scorchers Women ,,Right-hand bat,Left-arm medium,,
Harvey,date unknown ,,New South Wales Country,,,,,
Clarence Edgar Harvey,March 17  1921  Newcastle  New South Wales ,,Queensland ,,Right-hand bat,,Brother - ,
Ernest Harvey,December 14  1880  Redfern  Sydney  New South Wales  Australia ,,Western Australia,,,,October 19  1923  Perth  Western Australia (aged 42 years 309 days) ,
EJ Harvey,date unknown ,,,,,,Umpire,
George Graham Harvey,May 7  1885  Mudgee  New South Wales ,,New South Wales,,Right-hand bat,,Wicketkeeper,
Ian Joseph Harvey,April 10  1972  Wonthaggi  Victoria ,45 years 363 days,Australia ,Allrounder,Right-hand bat,Right-arm medium,Wonthaggi Technical College,
Kade Murray Harvey,October 7  1975  Subiaco  Perth  Western Australia ,42 years 183 days,Western Australia,Allrounder,Right-hand bat,Right-arm medium,1.78 m ,
Mervyn Roye Harvey,April 29  1918  Broken Hill  New South Wales ,,Australia ,,Right-hand bat,,Brother - ,
Mackenzie Walter Harvey,September 18  2000  East St Kilda ,17 years 202 days,Australia Under-16s ,,Left-hand bat,Right-arm medium-fast,,
Raymond Harvey,January 3  1926  Sydney  New South Wales ,,Victoria,,Right-hand bat,Legbreak googly,Brother - ,
Ronald Mason Harvey,October 26  1934  Newcastle  New South Wales ,83 years 164 days,New South Wales,,Right-hand bat,,,
Robert Neil Harvey,October 8  1928  Fitzroy  Melbourne  Victoria ,89 years 182 days,Australia ,,Left-hand bat,Right-arm offbreak,Brother - ,
Stephen John Harvey,August 2  1971  Dungog  New South Wales ,46 years 249 days,Australian Capital Territory ,,Right-hand bat,Right-arm fast-medium,,
Shane Michael Harwood,March 1  1974  Ballarat  Victoria ,44 years 38 days,Australia ,Bowler,Right-hand bat,Right-arm fast-medium,1.83 m ,
Arthur Lindsay Hassett,August 28  1913  Geelong  Victoria ,,Australia ,,Right-hand bat,Right-arm medium,Brother - ,
Richard Joseph Hassett,September 10  1908  Geelong  Victoria ,,Victoria,,Right-hand bat,Legbreak googly,Brother - ,
Richard Xavier Hassett,March 30  1976  Geelong  Victoria ,42 years 9 days,Victoria Country ,,Right-hand bat,,Great-uncle - ,
Edward Percival Hastings,1849  England ,,Victoria,,Right-hand bat,,May 31  1905  McKinnon  Victoria (aged 56 years) ,
John Wayne Hastings,November 4  1985  Penrith  New South Wales ,32 years 155 days,Australia ,Allrounder,Right-hand bat,Right-arm fast-medium,1.95 m ,
Thomas James Hastings,January 16  1865  Melbourne  Victoria ,,Victoria,,Right-hand bat,,Wicketkeeper,
Liam Conor Hatcher,September 17  1996  Liverpool  New South Wales ,21 years 203 days,Australia Under-19s,,Right-hand bat,Right-arm fast,,
Bradley James Hatton,April 22  1975  Gove  Northern Territory ,42 years 351 days,Northern Territory ,,Right-hand bat,Right-arm medium,Brother - ,
Mark Aaron Hatton,January 24  1974  Waverley  Sydney  New South Wales ,44 years 74 days,Australian Capital Territory ,,Right-hand bat,Slow left-arm orthodox,Brother - ,
Nathan Michael Hauritz,October 18  1981  Wondai  Queensland ,36 years 172 days,Australia ,Bowler,Right-hand bat,Right-arm offbreak,1.82 m ,
Neil James Napier Hawke,June 27  1939  Cheltenham  Adelaide  South Australia ,,Australia ,,Right-hand bat,Right-arm medium-fast,Hawkeye,
Cherie-Lynn Hawkins,October 11  1975  Wynyard  Tasmania ,42 years 179 days,Tasmania Women,,Left-hand bat,Right-arm medium,,
George William Hawkins,December 7  1908  Brunswick  Victoria ,,Victoria,,Right-hand bat,,July 20  1979  Chiltern  Victoria (aged 70 years 225 days) ,
Matthew Hawkins,date unknown ,,,,,,Umpire,
A Hawks,date unknown ,,,,,,Umpire,
Donald L Hawks,December 5  1924  Western Australia ,93 years 124 days,,,,,Umpire,
R Hawks,date unknown ,,,,,,Umpire,
Craig John Haworth,March 19  1968  Coffs Harbour  New South Wales ,50 years 20 days,Australian Country XI ,,Left-hand bat,Right-arm medium,,
Edgar Stanley Hawson,July 25  1878  Hobart  Tasmania ,,Tasmania,,Right-hand bat,,September 29  1946  Hobart  Tasmania (aged 68 years 66 days) ,
Reginald James Hawson,September 2  1880  Hobart  Tasmania ,,Tasmania,,Right-hand bat,,February 20  1928  Hobart  Tasmania (aged 47 years 171 days) ,
Henry Hay,March 30  1874  Adelaide  South Australia ,,South Australia,,Right-hand bat,Right-arm fast-medium,May 16  1960  Adelaide  South Australia (aged 86 years 47 days) ,
John Templar Hay,May 5  1930  Tasmania ,87 years 338 days,,,,,Umpire,
Will Hay,date unknown ,,Australian Capital Territory Under-15s ,,Right-hand bat,Right-arm medium,,
Nick Haydar,January 4  1970  Kirikkale (Turkey) ,48 years 94 days,Australia Blind,,Right-hand bat,Right-arm medium,,
Andrew J Hayden,March 9  1973  Blackwood  Adelaide  South Australia ,45 years 30 days,South Australia Country,,Left-hand bat,Right-arm medium,,
Matthew Lawrence Hayden,October 29  1971  Kingaroy  Queensland ,46 years 161 days,Australia ,Opening batsman,Left-hand bat,Right-arm medium,1.88 m ,
Julie Hayes,May 2  1973  Ryde  Sydney  New South Wales ,44 years 341 days,Australia Women ,,Right-hand bat,Right-arm medium,,
J Hayes,date unknown ,,,,,,Umpire,
William Bede Hayes,October 16  1883  Surry Hills  Sydney  New South Wales ,,Queensland,,Right-hand bat,Legbreak googly,November 5  1926  Corinda  Queensland (aged 43 years 20 days) ,
Frederick George Haymes,April 5  1849  Launceston  Tasmania ,,Tasmania,,,,March 12  1928  Lakes Entrance  Victoria (aged 78 years 342 days) ,
Gregory John Hayne,October 2  1971  Moree  New South Wales ,46 years 188 days,New South Wales,,Left-hand bat,Slow left-arm orthodox,,
Rachael Louise Haynes,December 26  1986  Carlton  Melbourne  Victoria ,31 years 103 days,Australia Under-23s Women ,Batsman,Left-hand bat,Left-arm medium,,
Michael Donald Haysman,April 22  1961  North Adelaide  South Australia ,56 years 351 days,Australian XI ,Top-order batsman,Right-hand bat,Right-arm offbreak,Commentator  Journalist,
Charles Waterfield Hayward,June 6  1867  Stepney  South Australia ,,South Australia,,,,February 2  1934  North Adelaide  South Australia (aged 66 years 241 days) ,
Matthew Roy Hayward,April 25  1975  Mona Vale  New South Wales ,42 years 348 days,Queensland Academy of Sport ,,Left-hand bat,,,
Justin Haywood,May 26  1982 ,35 years 317 days,Australian Capital Territory Under-19s,,Left-hand bat,,,
Martin Thomas Haywood,October 7  1969  Tamworth  New South Wales ,48 years 183 days,New South Wales,,Right-hand bat,,,
David Samuel Hazell,August 1  1970  Sydney  New South Australia ,47 years 250 days,Australian Capital Territory,,Right-hand bat,,,
P Hazell,date unknown ,,,,,,Umpire,
Josh Reginald Hazlewood,January 8  1991  Tamworth  New South Wales ,27 years 90 days,Australia ,Bowler,Left-hand bat,Right-arm fast-medium,1.96 m ,
Gervys Rignold Hazlitt,September 4  1888  Enfield  Sydney  New South Wales ,,Australia ,,Right-hand bat,Right-arm medium  Right-arm offbreak,October 30  1915  Parramatta  New South Wales (aged 27 years 56 days) ,
Lindsay Hudson Head,September 16  1935  North Adelaide  South Australia ,82 years 204 days,South Australia,,Right-hand bat,Legbreak,,
Martin David Head,October 30  1977  England ,40 years 160 days,Western Australia Country,,Right-hand bat,Right-arm medium,,
T Head,date unknown ,,Queensland Women,,,,,
Travis Michael Head,December 29  1993  Adelaide  South Australia ,24 years 100 days,Australia ,Middle-order batsman,Left-hand bat,Right-arm offbreak,Wicketkeeper,
Adam James Heading,May 10  1982  Moruya  New South Wales ,35 years 333 days,Australian Capital Territory,,Right-hand bat,Right-arm medium,,
Eustace Slade Headlam,May 20  1892  Bothwell  Tasmania ,,Tasmania,,Left-hand bat,Slow left-arm orthodox,May 25  1958  Launceston  Tasmania (aged 66 years 5 days) ,
Felix Emmerson Headlam,June 20  1897  Bothwell  Tasmania ,,Tasmania,,Right-hand bat,,October 5  1965  Bowral  New South Wales (aged 68 years 107 days) ,
Herbert Venters Heairfield,February 28  1907  Adelaide  South Australia ,,South Australia,,Right-hand bat,,Wicketkeeper,
Aaron Keith Heal,March 13  1983  Armadale  Perth  Western Australia ,35 years 26 days,Melbourne Renegades ,Bowler,Left-hand bat,Slow left-arm orthodox,1.83 m ,
Alyssa Jean Healy,March 24  1990  Gold Coast  Queensland ,28 years 15 days,Australia Under-23s Women ,Wicketkeeper batsman,Right-hand bat,,Uncle - ,
Edwin Francis Healy,September 26  1909  Hawthorn  Melbourne  Victoria ,,Victoria,,Right-hand bat,Right-arm offbreak,June 14  1995  Camberwell  Melbourne  Victoria (aged 85 years 261 days) ,
Eric Nicholas Healy,November 5  1888  Elizabeth Bay  New South Wales ,,Western Australia,,Right-hand bat,,October 9  1954  Cottesloe  Western Australia (aged 65 years 338 days) ,
Gerald Edward James Healy,March 26  1885  Prahran  Melbourne  Victoria ,,Victoria,,Right-hand bat,,July 12  1946  Armadale  Melbourne  Victoria (aged 61 years 108 days) ,
Ian Andrew Healy,April 30  1964  Spring Hill  Brisbane  Queensland ,53 years 343 days,Australia ,,Right-hand bat,,Brother - ,
John Joseph Healy,June 23  1851  Burra  South Australia ,,Victoria,,Right-hand bat,,May 17  1916  Melbourne  Victoria (aged 64 years 329 days) ,
Kenneth James Healy,October 15  1967  South Brisbane  Queensland ,50 years 175 days,Queensland,,Left-hand bat,Left-arm medium,Brother - ,
