Josiah Mills,October 25  1862  Oldham  Lancashire ,,Lancashire,,Right-hand bat,,Wicketkeeper,
John Michael Mills,July 27  1921  Edgbaston  Birmingham  Warwickshire ,,Cambridge University ,,Right-hand bat,Legbreak googly,Son - ,
John Peter Crispin Mills,December 6  1958  Kettering  Northamptonshire ,59 years 123 days,Cambridge University ,,Right-hand bat,Right-arm medium,Father - ,
Katherine Elizabeth Mills,February 10  2000  Bath  Somerset ,18 years 57 days,Wiltshire Women,,,,,
Oliver Charles H Mills,November 10  1993  Winchester  Hampshire ,24 years 149 days,Hampshire 2nd XI ,,Right-hand bat,Right-arm medium,Winchester College,
Percy Thomas Mills,May 7  1879  Cheltenham  Gloucestershire ,,Gloucestershire,,Right-hand bat,Right-arm medium,December 8  1950  Abingdon  Berkshire (aged 71 years 215 days) ,
Richard Mills,February 16  1798  Pump Farm  Benenden  Kent ,,Kent,,Left-hand bat,Left-arm medium (roundarm),Brother - ,
Richard John Mills,December 1  1991  Leeds ,26 years 128 days,Wiltshire,,Right-hand bat,Right-arm medium,,
Tymal Solomon Mills,August 12  1992  Dewsbury  Yorkshire ,25 years 239 days,England ,,Right-hand bat,Left-arm fast,,
W Mills,date unknown ,,Kent,,,,,
William Mills,December 16  1818  Westminster  London ,,Cambridge Town Club ,,,,September 22  1877  St John's Wood  London (aged 58 years 280 days) ,
Walter George Mills,June 2  1852  Dalston  London ,,Lancashire,,Right-hand bat,Right-arm fast (roundarm),January 6  1902  Chorlton-cum-Hardy  Lancashire (aged 49 years 218 days) ,
Arthur Millward,July 4  1858  Kidderminster  Worcestershire ,,North of England,,Right-hand bat,Right-arm offbreak,Umpire,
George Millyard,November 12  1814  Petworth  Sussex ,,Sussex,,Left-hand bat,Right-arm medium (roundarm),July 20  1848  Petworth  Sussex (aged 33 years 251 days) ,
Dermot Lionel Kennedy Milman,October 24  1912  Eltham  Kent ,,Cambridge University,,Right-hand bat,Slow left-arm orthodox,January 13  1990  Warlingham  Surrey (aged 77 years 81 days) ,
George Alderson Milman,October 11  1830  Westminster  London ,,Marylebone Cricket Club,,Right-hand bat,Right-arm medium (roundarm),December 29  1898  Heavitree  Devon (aged 68 years 79 days) ,
Andrew Paul Milne,December 1  1969  Bedford ,48 years 128 days,Bedfordshire,,Right-hand bat,Right-arm fast-medium,,
George Taylor Milne,January 18  1877  Westgate  Newcastle upon Tyne  Northumberland ,,Minor Counties,,Left-hand bat,Left-arm bowler,November 3  1968  Newcastle upon Tyne  Northumberland (aged 91 years 290 days) ,
Robert Alexander Milne,June 13  1960  Hackney  London ,57 years 299 days,Cambridgeshire,,Right-hand bat,,,
Robert Oswald Milne,September 10  1852  Prestwich  Manchester  Lancashire ,,Lancashire,,,,September 6  1927  Leamington Spa  Warwickshire (aged 74 years 361 days) ,
C Milner,date unknown ,,Cambridgeshire,,,,,
Joseph Milner,August 22  1937  Johannesburg  Transvaal  South Africa ,,Essex,,Right-hand bat,,1993  South Africa (aged 55 years) ,
Marcus Henry Milner,April 16  1864  West Retford House  Nottinghamshire ,,Cambridge University,,Left-hand bat,Left-arm medium,Nephew - ,
Steven Andrew Milner,February 22  1953  Davyhulme  Manchester  Lancashire ,65 years 45 days,Minor Counties,,Left-hand bat,Right-arm fast-medium,,
Matthew Edward Milnes,July 29  1994  Nottingham ,23 years 253 days,Durham 2nd XI ,,Right-hand bat,Right-arm medium-fast,West Bridgford Comprehensive School and Sixth Form College; Durham University,
Thomas Patrick Milnes,October 6  1992  Stourbridge  Worcestershire ,25 years 184 days,Derbyshire ,,Right-hand bat,Right-arm fast-medium,,
D Milns,date unknown ,,,,,,Umpire,
Alexander Geoffrey Milton,May 19  1996  Redhill  Surrey ,21 years 324 days,Glamorgan 2nd XI ,Wicketkeeper,Right-hand bat,Legbreak,Malvern College,
Clement Arthur Milton,March 10  1928  Bedminster  Somerset ,,England ,,Right-hand bat,Right-arm medium,April 25  2007  Bristol (aged 79 years 46 days) ,
Harold Aubrey Milton,January 15  1882  Hackney Downs  London ,,Middlesex,,Right-hand bat,,March 14  1970  Islington  London (aged 88 years 58 days) ,
Michael Edward Milton,November 28  1943  St Pancras  London ,74 years 131 days,Buckinghamshire,,Right-hand bat,Slow left-arm orthodox,,
William Thomas Spencer,October 12  1815 ,,Sheffield,,,,February 20  1902  Wentworth  Yorkshire (aged 86 years 131 days) ,
