Ishtiaq Khan,June 11  1967  Lahore  Punjab ,50 years 301 days,Lahore,,Right-hand bat,Legbreak googly,,
Ishtiaq Naqvi,date unknown ,,Multan,,,,,
Ishtiaq Rabbani,November 18  1978  Islamabad  Punjab ,39 years 141 days,Islamabad Cricket Association,,Right-hand bat,,,
Islahuddin,date unknown ,,Pakistan Customs,,Right-hand bat,Right-arm offbreak,,
Islam-ul-Haq,August 23  1968  Bhuranwala ,49 years 228 days,Multan,,Right-hand bat,,Wicketkeeper,
Islam Khan,November 26  1953  Karachi  Sind ,64 years 133 days,,,Right-hand bat,Right-arm offbreak,Umpire,
Ismail,date unknown ,,Islamabad Model College Rawalpindi,,,,,
Ismail Gul,date unknown ,,East Pakistan ,,Right-hand bat,Right-arm medium-fast,,
Ismail Ibrahim,date unknown ,,Karachi,,,,,
Ismail Khan,date unknown ,,Quetta Region,,,,,
Israr-ul-Haq,November 23  1991  Karachi ,26 years 136 days,Habib Bank Limited,,Right-hand bat,Legbreak googly,,
Israrullah,January 15  1990  Monzai  North-West Frontier Province ,28 years 83 days,Peshawar ,,Left-hand bat,,,
Israr Ahmed Tunio,May 23  1960  Larkana  Sind ,57 years 320 days,Sukkur,,Right-hand bat,Right-arm offbreak,,
Israr Ali,May 1  1927  Jullundur (now Jalandhar)  Punjab  India ,,Pakistan ,,Left-hand bat,Left-arm fast-medium,February 1  2016  Okara  Pakistan (aged 88 years 276 days) ,
Syed Israr Ali Shah,March 12  1992  Gujrat  Punjab ,26 years 27 days,Sialkot Region,,Right-hand bat,,,
Israr Khan,date unknown ,,Peshawar Panthers,,,,,
Isra Malik,date unknown ,,Lahore Women Cricket Association,,Right-hand bat,Slow left-arm orthodox,,
Itaat Hussain,March 13  1937  Akola  Rajasthan  India ,,Pakistan International Airlines ,,Right-hand bat,Right-arm medium-fast,September 25  2010  Pakistan (aged 73 years 196 days) ,
Itmad-ul-Haq,February 26  1987  Multan  Punjab ,31 years 41 days,Multan,,Left-hand bat,,,
Izhar-ul-Haq,date unknown ,,Pakistan Security Printing Corporation,,,,,
Izhar Ahmed Siddiqi,August 20  1944  Lahore  Punjab ,73 years 231 days,House Building Finance Corporation ,,Right-hand bat,Slow left-arm orthodox,,
Izhar Ahmed,date unknown ,,Punjab University,,Right-hand bat,,,
Izhar Hussain Siddiqi,August 3  1945  Lucknow  Uttar Pradesh  India ,72 years 248 days,Karachi ,,Right-hand bat,Right-arm medium,Wicketkeeper,
Jabbar Rahim,January 24  1968  Lahore  Punjab ,50 years 74 days,Lahore ,,Left-hand bat,Left-arm fast-medium,,
Jaffar Aamer,September 3  1980  Sargodha  Punjab ,37 years 217 days,Sargodha,,Left-hand bat,Slow left-arm orthodox,,
Jaffar Nazir,August 16  1977  Muridke  Punjab ,40 years 235 days,Khan Research Labs ,,Right-hand bat,Right-arm fast-medium,,
Mohammad Jaffar Qureshi,May 10  1969  Karachi  Sind ,48 years 333 days,Karachi,,Left-hand bat,Slow left-arm orthodox,,
Jaffar Yousuf,date unknown ,,Lahore,,,,,
Jahangir Shah,October 14  1989  Chicago  Illinois ,28 years 176 days,Karachi Blues,,,Legbreak googly,,
Jahandad Khan,April 4  1983  Faisalabad  Punjab ,35 years 4 days,Faisalabad Wolves,,Right-hand bat,,,
Jahangir Ahmed,date unknown ,,Hyderabad Education Board,,,,,
Jahangir Alvi,May 27  1962  Rawalpindi  Punjab ,55 years 316 days,Bahawalpur,,Right-hand bat,Right-arm fast-medium,,
Jahangir Bakhsh,August 27  1976  Karachi  Sind ,41 years 224 days,Karachi,,Right-hand bat,Right-arm fast-medium,,
Jahangir Bashar,date unknown ,,Peshawar Cricket Association,,Right-hand bat,,,
Jahangir Hussain Shah,date unknown ,,Hyderabad (Pakistan) ,,Right-hand bat,Right-arm medium-fast,,
Mohammad Jahangir Khan,May 1  1971  Peshawar  North-West Frontier Province ,46 years 342 days,Allied Bank ,,Right-hand bat,Right-arm offbreak,,
Jahangir Khan,August 20  1971  Peshawar  North-West Frontier Province ,46 years 231 days,National Bank of Pakistan ,,Right-hand bat,Right-arm offbreak,Wicketkeeper,
Jahangir Khan,date unknown ,,Punjab,,Right-hand bat,,,
Jahangir Mirza,February 28  1987  Lahore ,31 years 39 days,Lahore ,,Right-hand bat,Right-arm offbreak,,
Jahangir Khan Moon,date unknown ,,Multan,,Right-hand bat,,,
Jahangir Qazi,date unknown ,,LUMHS Hyderabad,,,,,
Jahangir Shah,February 2  1980  Swabi  North-West Frontier Province ,38 years 65 days,Abbottabad ,,Right-hand bat,Right-arm medium-fast,,
Jahanzaib Manzoor,date unknown ,,Bahawalpur Stags,,,,,
Jahanzeb,date unknown ,,Baluchistan,,,,,
Jahanzeb,December 27  1977  Faisalabad  Punjab ,40 years 102 days,Faisalabad,,Right-hand bat,Left-arm fast-medium,,
Jahanzeb Ahmed,date unknown ,,Rawalpindi,,,Right-arm medium,,
Jahanzeb Ashraf,October 1  1982  Rahimyar Khan  Punjab ,35 years 189 days,Bahawalpur ,,Right-hand bat,,,
Jahanzeb Khan Burki,October 24  1963  Gujranwala  Punjab ,54 years 166 days,Gujranwala Cricket Association,,Right-hand bat,Right-arm offbreak,,
Jahanzeb Chandio,date unknown ,,Dadu Cricket Association,,,,,
Jahanzeb Khan,date unknown ,,Rest of Baluchistan,,,Right-arm medium-fast,Wicketkeeper,
Jahanzeb Ali Khan,December 10  1991  Rahim Yar Khan  Punjab ,26 years 119 days,Bahawalpur ,,Left-hand bat,Right-arm offbreak,,
Jahanzeb Khan,date unknown ,,Multan,,,,,
Jahanzeb Khan,date unknown ,,Karachi ,,,,,
Khan Jahanzeb Khan,date unknown ,,Peshawar Cricket Association ,,Right-hand bat,Right-arm medium-fast,,
Jahanzeb Mahmood,December 27  1983  Lahore ,34 years 102 days,Pakistan Customs,,Right-hand bat,Right-arm offbreak,,
Jahan Zaib,March 18  1994 ,24 years 21 days,Islamia College Sialkot,,Right-hand bat,,,
Jaahid Shaukat Ali,March 5  1995  Karachi  Sind ,23 years 34 days,Candyland ,,Right-hand bat,Right-arm offbreak,,
Jahanzeb Abdullah,September 20  1989  Firozwala  Punjab ,28 years 200 days,Pakistan Under-19s ,,Right-hand bat,Right-arm bowler,,
Jalal-ud-Din,June 12  1959  Karachi ,58 years 300 days,Pakistan ,,Right-hand bat,Right-arm fast-medium,Brother - ,
Jalaluddin,date unknown ,,,,Left-hand bat,Slow left-arm orthodox,,
Jalaluddin,date unknown ,,Peshawar Cricket Association,,,,,
Jalal Abbas,date unknown ,,Karachi,,,,,
Jalal Akbar Khan Baloch,date unknown ,,Sargodha,,Right-hand bat,Slow left-arm orthodox,,
Jalal Nisar,date unknown ,,Karachi ,,,,,
