Hollie Jade Armitage,June 14  1997  Huddersfield  Yorkshire ,20 years 298 days,England Academy Women ,,,Legbreak,,
IM Armitage,date unknown ,,,,,,Umpire,
Ian N Armitage,date unknown ,,,,,,Umpire,
Thomas Armitage,April 25  1848  Walkley  Sheffield  Yorkshire ,,England ,,Right-hand bat,Right-arm medium,September 21  1922  Pullman  Chicago  Illinois  United States of America (aged 74 years 149 days) ,
Vernon Kirk Armitage,October 20  1842  Hope Hall  Eccles  Lancashire ,,Cambridge University,,Right-hand bat,,May 8  1911  Birkdale  Lancashire (aged 68 years 200 days) ,
Sydney Henry Armitstead,June 13  1837  Holmes Chapel  Cheshire ,,Gentlemen of the North ,,,(unknown arm) medium (roundarm),Wicketkeeper,
William George Armitstead,March 22  1833  Holmes Chapel  Cheshire ,,Oxford University,,Right-hand bat,,March 12  1907  Goostrey  Cheshire (aged 73 years 355 days) ,
A Armstrong,date unknown ,,Hertfordshire,,,,,
Gavin Robert Armstrong,date unknown ,,Cumberland,,,,,
H H Armstrong,date unknown ,,Hampshire,,Right-hand bat,Right-arm medium,,
John Matthew Armstrong,January 3  1981  Consett  Co Durham ,37 years 95 days,Lancashire Cricket Board,,Left-hand bat,Legbreak googly,,
Norman Foster Armstrong,December 22  1892  Loughborough  Leicestershire ,,Leicestershire,,Right-hand bat,Right-arm medium,January 19  1990  Branksome  Bournemouth  Hampshire (aged 97 years 28 days) ,
Nicholas John Armstrong,September 12  1975  Norton  Nottinghamshire ,42 years 208 days,Lincolnshire,,Left-hand bat,Right-arm medium,,
Philip Alexander Nikolas Armstrong,January 23  1962  Lambeth  London ,56 years 75 days,Oxford University,,Right-hand bat,Right-arm medium,,
Phillip David Armstrong,October 28  1976  Shotley Bridge  Co Durham ,41 years 162 days,Cheshire,,Right-hand bat,Right-arm medium-fast,,
Richard Armstrong,December 22  1988  Sudan  Northern Africa ,29 years 107 days,Dorset,,,,,
Robert George Chadwick Armstrong,August 12  1836  Gravesend  Kent ,,Kent,,,,June 9  1863  Peckham  London (aged 26 years 301 days) ,
Thomas Armstrong,March 16  1872  Keyworth  Nottinghamshire ,,Nottinghamshire,,Right-hand bat,Right-arm medium,July 5  1938  Keyworth  Nottinghamshire (aged 66 years 111 days) ,
Thomas Hugh Armstrong,April 21  1849  Wingate Grange  Co Durham ,,Oxford University,,,,January 27  1929  Leigh House  East Grinstead  Sussex (aged 79 years 281 days) ,
Thomas Riley Armstrong,October 13  1909  Clay Cross  Derbyshire ,,Derbyshire,,Left-hand bat,Slow left-arm orthodox,February 6  2000  Marfield Court  Leicestershire (aged 90 years 116 days) ,
Harry Thompson Arnall,April 7  1864  Belgrave Grange  Leicester ,,Oxford University,,Right-hand bat,Left-arm fast  Slow left-arm orthodox,he assumed the name of Harry Thompson Arnall-Thompson in December 1885,
James CW Arney,date unknown ,,Wiltshire,,,,,
