Anup Kumar Das,May 18  1964  Calcutta (now Kolkata)  Bengal ,53 years 325 days,Bengal,,Right-hand bat,Slow left-arm orthodox,,
Deepak Das Gupta,August 5  1937  Calcutta (now Kolkata)  Bengal ,80 years 246 days,Mysore,,Right-hand bat,Right-arm offbreak,,
J Das Gupta,date unknown ,,Jharkhand,,,,,
Mihir Das Gupta,date unknown ,,Tripura,,,,,
Pallab Das Gupta,November 8  1962 ,55 years 151 days,Tripura,,Right-hand bat,Slow left-arm orthodox,,
Sunil Das Gupta,date unknown  Calcutta (now Kolkata)  Bengal ,,Bengal,,Right-hand bat,Right-arm medium,December 12  2004 ,
Ajit Kumar Das Gupta,August 22  1924  Calcutta (now Kolkata)  Bengal ,,Bengal,,Right-hand bat,,Brother - ,
Anil Kumar Das Gupta,May 28  1922  Calcutta (now Kolkata)  Bengal ,,Bengal ,,Right-hand bat,Right-arm offbreak,Brother - ,
Asoke Kumar Das Gupta,March 7  1928  Calcutta (now Kolkata)  Bengal ,,Bengal ,,Right-hand bat,Right-arm medium,Brother - ,
Ajit Sadashiv Datar,November 21  1959 ,58 years 138 days,,,,,Umpire,
Manohar Chintaman Datar,date unknown ,,Maharashtra,,Right-hand bat,,,
SV Datar,date unknown  Sangli  Maharashtra ,,Maharashtra,,Right-hand bat,Right-arm medium,,
Amit Vasant Date,July 18  1978  Nagpur  Maharashtra ,39 years 264 days,Vidarbha,,Right-hand bat,Right-arm medium-fast,,
GK Date,date unknown ,,,,,,Umpire,
KA Date,date unknown ,,Hindus,,,,June 12  1926 ,
Nikhil Date,date unknown ,,Rising Zebras,,,,,
Subhash R Date,date unknown ,,Vidarbha,,Left-hand bat,,January 31  1989  Bombay (now Mumbai)  Maharashtra ,
Puneet Mukesh Datey,September 10  1994   Bhopal  Madhya Pradesh ,23 years 210 days,Madhya Pradesh,,Right-hand bat,Right-arm medium,,
Ambar Datta,March 6  1938  Calcutta (now Kolkata)  Bengal ,80 years 33 days,Bengal,,Right-hand bat,Right-arm offbreak,,
Ashok Datta,date unknown ,,Jharkhand,,Right-hand bat,Right-arm offbreak,,
Abhisek Badalkrishna Datta,May 22  1985  Calcutta (now Kolkata)  Bengal ,32 years 321 days,Bengal Under-16s,,Left-hand bat,,Wicketkeeper,
Babul Datta,January 11  1956  Agartala  Tripura ,62 years 87 days,,,Right-hand bat,Right-arm offbreak,,
Habul Datta,November 16  1958  Agartala  Tripura ,59 years 143 days,Tripura,,Right-hand bat,Right-arm medium,,
Hiralal Datta,December 7  1959  Sanamura ,58 years 122 days,Tripura,,Right-hand bat,Right-arm offbreak,,
DO Daulatram,date unknown ,,Karachi ,,,,,
Anup Madhusudhan Dave,May 2  1981  Banswara  Rajasthan ,36 years 341 days,Rajasthan,,Left-hand bat,Slow left-arm orthodox,,
Arav Upendrabhai Dave,November 2  1990  Bhavnagar  Saurashtra ,27 years 157 days,Saurashtra Cricket Association XI ,,Left-hand bat,Slow left-arm orthodox,,
Daxesh Kishorchandra Dave,April 24  1984  Borada ,33 years 349 days,Baroda,,Right-hand bat,Right-arm medium,,
Mehul Dineshkumar Dave,November 15  1976  Baroda  Gujarat ,41 years 144 days,Baroda,,Right-hand bat,Right-arm medium-fast,,
Prayan Ramakant Dave,October 17  1973  Baroda  Gujarat ,44 years 173 days,Baroda,,Right-hand bat,Right-arm offbreak,,
Rajesh Dave,date unknown ,,Madhya Pradesh,,,,,
Rahul Rajendra Dave,October 12  1988  Rajkot  Saurashtra ,29 years 178 days,Saurashtra Cricket Association XI,,Right-hand bat,Right-arm offbreak,,
Siddharth Dave,date unknown ,,Gujarat Cricket Association XI,,,,,
Varun Shankar Dave,December 19  1983  Bhandar  Pali  Rajasthan ,34 years 110 days,Gujarat,,Right-hand bat,Right-arm offbreak,,
Diana Pilli David,March 2  1985  Chirala  Andhra Pradesh ,33 years 37 days,India Red Women ,Middle-order batsman,Right-hand bat,Right-arm offbreak,,
Neetu David,September 1  1977  Kanpur  Uttar Pradesh ,40 years 219 days,India Women ,,Right-hand bat,Slow left-arm orthodox,Neetu,
Noel Arthur David,February 26  1971  Hyderabad  Andhra Pradesh ,47 years 41 days,India ,,Right-hand bat,Right-arm offbreak,,
Rakesh David,December 19  1981  Nellore  Andhra Pradesh ,36 years 110 days,Goa Under-19s,,Right-hand bat,Legbreak,,
(Sergeant) Davis,date unknown ,,Europeans (India),,,,,
Arun Davis,May 7  1982  Kottayam  Kerala ,35 years 336 days,Kerala,,Right-hand bat,,,
