W A Cowes,date unknown ,,Argentina,,,,,
Clara Culley,December 13  1988  San Isidro  Buenos Aires  Argentina ,29 years 116 days,Argentina Women ,,Right-hand bat,,Father - ,
Derek Alan Culley,March 7  1957  Reading  Berkshire ,61 years 32 days,Argentina ,,Right-hand bat,Right-arm offbreak,Daughter - ,
Lucia Culley,December 13  1988  San Isidro  Buenos Aires  Argentina ,29 years 116 days,Argentina Women ,,Right-hand bat,Right-arm bowler,Father - ,
O T Cunningham,date unknown ,,Argentina,,,,,
Michael Davis,date unknown ,,Argentina,,,,,
Herbert Dorning,1874 ,,Argentina,,,,February 2  1955  Perranmar  Cornwall  England (aged 81 years) ,
Gerald Carr Drysdale,March 2  1887  Buenos Aires ,,Argentina,,,,April 20  1958  Buenos Aires (aged 71 years 49 days) ,
F Duggan,date unknown ,,Argentina Under-19s,,,,,
Adrian Grant Dugmore,February 1  1967  Grahamstown  Cape Province ,51 years 66 days,Argentina ,,Right-hand bat,,Referee  Coach,
Ramiro Escobar,October 11  1995 ,22 years 179 days,Argentina Under-19s,,,,,
Horacio Esperon,October 31  1989  Argentina ,28 years 159 days,Argentina Under-19s,,Right-hand bat,Right-arm medium,,
Mercedes Esperon,date unknown ,,Argentina Women,,,,,
E Garcia Favre,date unknown ,,Argentina Women,,,,,
Hernan Fennell,February 2  1988 ,30 years 65 days,Argentina ,,,,,
Sebastian Fennell,November 26  1991  Argentina ,26 years 133 days,Argentina Under-19s,,Right-hand bat,,Wicketkeeper,
Alejandro Ferguson,July 19  1978  Capital Federal  Buenos Aires ,39 years 263 days,Argentina ,,Right-hand bat,,Grandfather - ,
George William Ferguson,September 17  1912  Buenos Aires ,105 years 203 days,Argentina,,Right-hand bat,,Son - ,
George William Anthony Ferguson,1946 ,72 years,Argentina,,Right-hand bat,Right-arm offbreak,Father - ,
Pablo Ferguson,September 5  1981  Capital Federal  Buenos Aires ,36 years 215 days,Argentina ,,Right-hand bat,Right-arm offbreak,Grandfather - ,
Ignacio Fermani,December 14  1989  Argentina ,28 years 115 days,Argentina Under-19s,,,,,
Donald Forrester,August 11  1969  Capital Federal  Buenos Aires ,48 years 240 days,Argentina ,,Right-hand bat,Right-arm offbreak,,
Donald G Forrester,date unknown ,,Argentina,,,,November 1987 ,
Philip Arnold Foy,October 16  1891  Axbridge  Somerset  England ,,Argentina ,,Right-hand bat,Right-arm fast-medium,February 12  1957  Adrogue  Buenos Aires (aged 65 years 119 days) ,
Tomas Francis,January 3  1977  Banfield  Buenos Aires ,41 years 95 days,Argentina,,Right-hand bat,,,
William Douglas Crowhelm Gardom,1879 ,,Argentina,,,,May 24  1944  Bideford  Devon  England (aged 65 years) ,
Carlos Gibson,August 3  1981  Buenos Aires ,36 years 248 days,Argentina ,,Right-hand bat,,,
Clement Herbert Gibson,August 23  1900  Entre Rios ,,Argentina ,,Right-hand bat,Right-arm fast-medium,Eton College; Cambridge University,
David Robert Gibson,July 3  1958  Lomas de Zamora  Buenos Aires ,59 years 279 days,Lomas Athletic Club,,,,Umpire,
Malcolm Charles Gibson,1953 ,65 years,Argentina,,,,,
Victoria Gibson,date unknown ,,Argentina Women,,,,,
Ezequil Gonzalez Sutil,December 27  1993 ,24 years 102 days,Argentina Under-19s,,,,,
Gabriel Gonzalez Sutil,March 24  1990 ,28 years 15 days,Argentina Under-19s,,Right-hand bat,Right-arm medium,,
AH Gooding,date unknown ,,Argentina,,,,,
Catalina Andrea Greloni,July 25  1985 ,32 years 257 days,Argentina Women,,,,,
Kenneth Henderson,1889 ,,Argentina,,,,January 30  1973 (aged 84 years) ,
Charles Michael Horsfall,November 9  1889  Denholm  Weybridge  Surrey ,,Argentina,,,,November 21  1942 (aged 53 years 12 days) ,
Agustin Husain,February 2  1992 ,26 years 65 days,Argentina Under-19s,,Right-hand bat,Right-arm offbreak,,
Gonzalo Husain,January 16  1997  Argentina ,21 years 82 days,Argentina Under-19s,,,,,
A W Hutton,date unknown ,,Argentina,,,,,
Bernardo Iritxity Irigoyen,September 3  1969  Buenos Aires ,48 years 217 days,Argentina ,,Right-hand bat,Right-arm medium,,
Santiago Irigoyen Iritxity,June 19  1992  Argentina ,25 years 293 days,Argentina Under-19s,,,,,
Alfred Louis Stewart Jackson,February 28  1904  Vina del Mar  Chile ,,Argentina,,Right-hand bat,,Wicketkeeper,
Neville Ward Jackson,April 25  1875  India ,,Argentina,,,,March 23  1919  Viamonte  Buenos Aires  Argentina (aged 43 years 332 days) ,
Arnold Leslie Jacobs,November 12  1892  Buenos Aires ,,South America,,Right-hand bat,,Wicketkeeper,
LA Jooris,date unknown ,,Argentina,,,,,
Martin Oscar Juarez,September 29  1964  Buenos Aires ,53 years 191 days,Lomas Athletic Club,,Right-hand bat,,Wicketkeeper,
Martin Oscar Juarez,September 29  1964  Buenos Aires  Argentina ,53 years 191 days,Argentina,,Right-hand bat,,Wicketkeeper,
Frederick Francis Keen,July 14  1898  Larida ,,Argentina,,Left-hand bat,Left-arm fast-medium,April 3  1990  Buenos Aires (aged 91 years 263 days) ,
D Ker,date unknown ,,,,,,Umpire,
R F R Ker,date unknown ,,Argentina,,,,,
Guillermo Patricio Kirschbaum,March 28  1968  Buenos Aires ,,Argentina ,,Right-hand bat,Right-arm fast-medium,April 13  2003 (aged 35 years 16 days) ,
Robert Bruce Kirton,1957 ,61 years,Argentina,,,,,
John Knox,October 4  1904  Buenos Aires ,,Argentina,,Right-hand bat,,April 10  1966  Buenos Aires (aged 61 years 188 days) ,
Diego Martin Lord,September 26  1977  Lomas de Zamora  Buenos Aires ,40 years 194 days,Argentina ,,Right-hand bat,Right-arm medium-fast,Father - ,
Ricardo Diego Lord,December 20  1945  Capital Federal  Buenos Aires ,72 years 109 days,Argentina,,,,Son - ,
R A de Courcy Lyons,1908 ,,Argentina,,,,April 13  1976 (aged 68 years) ,
Esteban Alfredo MacDermott,November 2  1981  Buenos Aires ,36 years 157 days,Argentina ,,Right-hand bat,Right-arm offbreak,Billy MacDermott,
Henry Worgan Marshal,June 27  1900  Santa Maria  Colombia ,,Argentina,,Right-hand bat,,Wicketkeeper,
Martin Humberto Martinez,1956 ,62 years,Argentina,,,,,
