Simon Francis Stanway,April 22  1966  Aylesbury  Buckinghamshire ,51 years 351 days,Buckinghamshire,,Right-hand bat,Right-arm fast-medium,,
John Stanworth,September 30  1960  Oldham  Lancashire ,57 years 190 days,Lancashire,,Right-hand bat,,Son - ,
Scott Andrew Stanworth,November 6  1988  Rochdale  Lancashire ,29 years 153 days,Lancashire 2nd XI,,Left-hand bat,,Father - ,
Anthony Roy Stanyard,April 5  1938  Plaistow  West Ham  Essex ,80 years 3 days,Essex,,Right-hand bat,Right-arm medium,,
Emily Stanyard,date unknown ,,Leicestershire Women,,,,,
Ronald Thomas Stanyforth,May 30  1892  Chelsea  London ,,England ,,Right-hand bat,,Wicketkeeper,
Richard Stanyon,July 7  1991  Southport ,26 years 275 days,Northumberland,,Right-hand bat,Right-arm medium-fast,,
Arthur Staples,February 4  1899  Newstead Colliery  Nottinghamshire ,,Nottinghamshire,,Right-hand bat,Right-arm medium,September 9  1965  Redhill  Nottinghamshire (aged 66 years 217 days) ,
Cyril Vernon Grey Staples,September 30  1876  Ballarat  Victoria  Australia ,,Gentlemen of England ,,,,Wicketkeeper,
Samuel James Staples,September 18  1892  Newstead Colliery  Nottinghamshire ,,England ,,Right-hand bat,Right-arm offbreak,June 4  1950  Standard Hill  Nottingham (aged 57 years 259 days) ,
Ernest Stapleton,January 15  1869  New Basford  Nottinghamshire ,,Derbyshire,,Right-hand bat,,December 14  1938  Nottingham (aged 69 years 333 days) ,
James Stapleton,August 8  1879  Eastwood  Nottinghamshire ,,Nottinghamshire,,Right-hand bat,,Wicketkeeper,
Ian B Starkey,date unknown ,,,,,,Umpire,
Sydney Starkie,April 4  1926  Burnley  Lancashire ,92 years 4 days,Northamptonshire,,Right-hand bat,Right-arm offbreak,,
Avril Moira Starling,April 19  1953  Hampstead  London ,64 years 354 days,England Women ,,,,,
Clement Edwin Starmer,December 2  1895  Cosby  Leicestershire ,,Leicestershire,,Right-hand bat,,July 25  1978  Preston Village  North Shields  Northumberland (aged 82 years 235 days) ,
Emily Georgia Starr,July 1  1993  Kettering  Northamptonshire ,24 years 281 days,Leicestershire Women,,Right-hand bat,,,
John Brian Statham,June 17  1930  Gorton  Manchester  Lancashire ,,England ,,Left-hand bat,Right-arm fast-medium,June 10  2000  Stockport  Cheshire (aged 69 years 359 days) ,
Ben Richard Frank Staunton,January 9  1977  Bath  Somerset ,41 years 89 days,Gloucestershire Cricket Board,,Right-hand bat,Right-arm offbreak,,
Harvey Staunton,November 21  1870  Staunton Hall  Nottinghamshire ,,Nottinghamshire,,Right-hand bat,,January 14  1918  Arzizieh  Mesopotamia (aged 47 years 54 days) ,
Miles Staveley,August 12  1846  St Pancras  London ,,Surrey,,Right-hand bat,Right-arm fast (roundarm),details unknown ,
Thomas Patrick Stayt,January 20  1986  Salisbury  Wiltshire ,32 years 78 days,Gloucestershire ,,Right-hand bat,Right-arm medium-fast,,
Michael William Staziker,November 7  1947  Croston  Lancashire ,70 years 152 days,Lancashire,,Right-hand bat,Right-arm medium-fast,,
Edward Stead,1701  Maidstone  Kent ,,,,,,Edwin Steed,
Alex Stead,April 18  1980  Dewsbury  West Yorkshire ,37 years 355 days,Cumberland,,Right-hand bat,Right-arm medium,Brother-in-law - ,
Barry Stead,June 21  1939  Leeds  Yorkshire ,,Essex ,,Left-hand bat,Left-arm fast-medium,April 15  1980  Drighlington  Yorkshire (aged 40 years 299 days) ,
Christopher John Peter Stead,February 7  1974  Middlesex ,44 years 60 days,Hertfordshire,,Right-hand bat,Right-arm medium,,
Roger Alexander Stead,April 18  1980  Dewsbury  Yorkshire ,37 years 355 days,Durham MCCU,,Right-hand bat,Right-arm medium,,
James Malcolm Steadman,February 15  1983  Bedford ,35 years 52 days,Bedfordshire ,,Right-hand bat,Right-arm medium-fast,Father - ,
Mark Gregory Stear,December 8  1958  Kensington  London ,59 years 121 days,Berkshire,,Right-hand bat,Right-arm medium-fast,,
William Stearman,1813  Aldborough  Norfolk ,,Kent,,,,April 11  1846  Thurgarton  Norfolk (aged 33 years) ,
Christopher Paul Stearn,July 11  1980  Eaton Bray  Bedfordshire ,37 years 271 days,Bedfordshire ,,Right-hand bat,Right-arm medium-fast,,
J Stearn,date unknown ,,Cambridge Town Club,,,,,
Thomas Stearn,date unknown ,,Cambridge Town Club,,,,March 1862  Cambridge ,
Benjamin Robert William Stebbings,October 6  1989  Oxford ,28 years 184 days,Herefordshire ,,Right-hand bat,Right-arm medium-fast,,
Stedman,date unknown ,,,,,,Umpire,
Harry Charles Plumer Stedman,October 11  1848  Great Budworth  Cheshire ,,Cambridge University,,Right-hand bat,Right-arm fast (roundarm),July 30  1904  Leire  Leicestershire (aged 55 years 293 days) ,
Malcolm Geoffrey Stedman,April 28  1948  West Ham  Essex ,69 years 345 days,Bedfordshire,,Right-hand bat,,Son - ,
