Mohsin Raza,January 15  1968  Lucknow  Uttar Pradesh ,50 years 83 days,Uttar Pradesh,,Right-hand bat,Right-arm medium-fast,,
Musi Raza,October 10  1979  Lucknow  Uttar Pradesh ,38 years 180 days,Uttar Pradesh,,Right-hand bat,Right-arm offbreak,Musi,
Sayed Raza Ali,September 26  1981  Allahabad  Uttar Pradesh ,36 years 194 days,Himachal Pradesh ,,Left-hand bat,Slow left-arm orthodox,Izak,
SA Razak,date unknown ,,Hindus,,,,,
SH Razak,date unknown ,,Central Provinces and Berar,,,,,
SK Razak,date unknown ,,Central Provinces and Berar,,,,,
Raza Amjad,date unknown ,,Jammu &amp; Kashmir,,,,,
A Razdan,date unknown ,,Northern Punjab,,,,,
Ashwini Razdan,date unknown ,,Punjab,,,,,
Maharaja Kishan Razdan,date unknown ,,Delhi ,,,,,
TC Vishal Razdan,December 31  1980  Delhi ,37 years 98 days,Delhi,,Right-hand bat,Right-arm offbreak,,
Vivek Razdan,August 25  1969  Delhi ,48 years 226 days,India ,,Right-hand bat,Right-arm fast-medium,,
Agha Hamid Razvi,May 23  1932  Agra  Uttar Pradesh ,85 years 320 days,Uttar Pradesh,,Right-hand bat,Legbreak,,
Naim Razzak,February 19  1972  Nagpur  Maharashtra ,46 years 48 days,Vidarbha,,Right-hand bat,Right-arm medium,,
Razzaq,date unknown ,,North West Frontier Province,,,,,
Sukanta Khanaram Reang,February 7  1986  West Manu  Tripura ,32 years 60 days,Tripura,,Right-hand bat,Right-arm medium,,
Arvind Venkatesh Reddy,June 10  1986  Bangalore  Karnataka ,31 years 302 days,Bijapur Bulls,,Right-hand bat,Right-arm offbreak,,
Abhishek Manik Reddy,September 14  1994  Bidar  Karnataka ,23 years 206 days,Belagavi Panthers ,,Right-hand bat,Right-arm offbreak,,
Bharath Reddy,November 12  1954  Madras (now Chennai) ,63 years 147 days,India ,,Right-hand bat,,Wicketkeeper,
Chirangeev Adithya Reddy,December 24  1987  Hyderabad  Andhra Pradesh ,30 years 105 days,Hyderabad Under-14s,,Right-hand bat,,,
Chandra Sripal Reddy,February 24  1985 ,33 years 43 days,Hyderabad (India),,Right-hand bat,,Paul,
Dillip Reddy,date unknown ,,Hyderabad (India),,,,Wicketkeeper,
D S K Reddy,date unknown ,,Services,,,,,
F Reddy,date unknown ,,Hyderabad (India),,,,,
Gajanan Reddy,date unknown ,,Hyderabad (India),,,,,
Goure Sreekanth Reddy,November 30  1978  Proddatur  Andhra Pradesh ,39 years 129 days,Hyderabad (India),,Right-hand bat,,,
Girish Venkatesh Reddy,August 12  1966  Bangalore  Karnataka ,51 years 239 days,Karnataka,,Right-hand bat,Left-arm medium,,
K Adityananda Reddy,December 10  1989  Vadodara ,28 years 119 days,Baroda,,Right-hand bat,,Wicketkeeper,
KC Reddy,date unknown ,,Mysore,,,,,
Krishna Pradeepkumar Reddy,December 23  1984  Hyderabad  Andhra Pradesh ,33 years 106 days,Hyderabad (India),,Right-hand bat,,Wicketkeeper,
Koyya Raghunatha Reddy,October 2  1989  Kakinada  Andhra Pradesh ,28 years 188 days,Andhra Under-14s,,Right-hand bat,Legbreak,Siddu,
Kolathur Vasudeva Reddy,November 28  1982  Tirupati  Andhra Pradesh ,35 years 131 days,Andhra,,Right-hand bat,,Wicketkeeper,
Lindala Narasimha Prasad Reddy,December 29  1977  Anantapur  Andhra Pradesh ,40 years 100 days,Andhra,,Right-hand bat,,Wicketkeeper,
Maramreddy Harishankar Reddy,June 2  1998  Rayachoti ,19 years 310 days,Andhra ,,Right-hand bat,Right-arm medium,Hari,
Malli Nagendra Kumar Reddy,December 6  1984  Cuddapah  Andhra Pradesh ,33 years 123 days,Andhra,,Right-hand bat,Right-arm medium,Naghu,
Madhusudhan Palam Reddy,May 25  1978  Hyderabad  Andhra Pradesh ,39 years 318 days,Services,,Right-hand bat,,,
Nalin Reddy,January 4  1985  Hyderabad  Andhra Pradesh ,33 years 94 days,Hyderabad (India),,Right-hand bat,Right-arm offbreak,Nalli,
Nimeesh Reddy,date unknown ,,Hyderabad Cricket Association XI,,,,,
Naresh Bolbandi Reddy,January 12  1990  Raichur  Karnataka ,28 years 86 days,Bangalore Provident (Rural),,Right-hand bat,Right-arm medium,,
Nayini Santosh Kumar Reddy,October 22  1938  Madras (now Chennai) ,79 years 168 days,Cambridge University ,,Left-hand bat,,known in India as Santosh Reddy,
Produturi Akshath Reddy,February 11  1991  Hyderabad ,27 years 56 days,Deccan Chargers ,,Right-hand bat,Legbreak,,
Priyadarshani Gautam Reddy,October 21  1985  Hyderabad  Andhra Pradesh ,32 years 169 days,Hyderabad (India) ,,Right-hand bat,Legbreak googly,,
Peddi Inder Shekar Reddy,December 20  1980  Hyderabad  Andhra Pradesh ,37 years 109 days,Andhra ,,Right-hand bat,Slow left-arm orthodox,,
Punnup Kapil Reddy,December 12  1986  Hyderabad  Andhra Pradesh ,31 years 117 days,Hyderabad Under-14s,,Right-hand bat,Right-arm medium-fast,,
Paddi Kaushik Reddy,December 21  1984  Karimnagar  Andhra Pradesh ,33 years 108 days,Hyderabad (India) ,,Right-hand bat,Right-arm fast-medium,,
Peddi Papi Reddy,April 1  1976  Bolarum  Andhra Pradesh ,42 years 7 days,Hyderabad (India),,Right-hand bat,Right-arm offbreak,Khanna,
Rattan Reddy,date unknown ,,Services,,,,,
RB Reddy,date unknown ,,Bellary Tuskers,,,,,
Tadisina Achuth Reddy,December 5  1986  Hyderabad  Andhra Pradesh ,31 years 124 days,Hyderabad Under-14s,,Left-hand bat,Right-arm medium-fast,,
Vattijonnala Venkata Bala Saraswathi Reddy,November 10  1978  Guntur  Andhra Pradesh ,39 years 149 days,Andhra Under-25s,,Right-hand bat,Right-arm medium,Reid,
Yenugu Vishnu Preetham Reddy,May 12  1987  Cuddapah  Andhra Pradesh ,30 years 331 days,Andhra Under-14s,,Right-hand bat,Right-arm medium,,
Arundhati Reddy,October 4  1997 ,20 years 186 days,Hyderabad (India) Women,,Right-hand bat,Right-arm medium-fast,,
Aniket Chandrakant Redkar,December 17  1983  Bombay (now Mumbai)  Maharashtra ,34 years 112 days,Mumbai Cricket Association President's XI,Bowler,Right-hand bat,Right-arm offbreak,,
Damodar Vithal Redker,May 5  1983  Margao  Goa ,34 years 338 days,Goa,,Right-hand bat,,Wicketkeeper,
Cyril Norman Reed,July 10  1906  Poona (now Pune)  Maharashtra ,,Europeans (India) ,,,,July 6  1991  Horsham  Sussex  England (aged 84 years 361 days) ,
Reema Samantray,July 31  1983  Orissa ,34 years 251 days,Orissa Women,,Right-hand bat,Right-arm offbreak,Reena,
Reeshant Singh,date unknown ,,Udaipur Mewar Royals,,Right-hand bat,,,
Amit Rege,November 4  1979 ,38 years 155 days,,,Right-hand bat,Right-arm offbreak,,
Milind Dattareya Rege,February 16  1949  Bombay (now Mumbai)  Maharashtra ,69 years 51 days,Bombay Chief Minister's XI,,Right-hand bat,Right-arm offbreak,,
