Shavorne Kymorne Clarke,June 24  1979 ,38 years 288 days,St Vincent and the Grenadines Women,,Left-hand bat,Left-arm medium,,
Shirley MacDonald Clarke,January 21  1977  Baywoods  St James  Barbados ,41 years 77 days,Barbados ,,Right-hand bat,Right-arm offbreak,,
Sylvester Theophilus Clarke,December 11  1954  Lead Vale  Christ Church  Barbados ,,West Indies ,,Right-hand bat,Right-arm fast,Half-brother - ,
Thomas Clarke,October 17  1839  The Rectory  Christ Church  Barbados ,,Barbados,,,,Brother - ,
Theodore Gordon Clarke,April 29  1860  St Michaels Row  St Michael  Barbados ,,Barbados,,Right-hand bat,,Brother - ,
William Coleridge Clarke,May 1841  Bridgetown  Barbados ,,Barbados,,Right-hand bat,,Brother - ,
Lloyd Clifford,October 1  1974  St Lucia ,43 years 189 days,St Lucia,,Right-hand bat,Right-arm medium-fast,,
Oswald Clovey,date unknown  Grenada ,,Windward Islands,,Right-hand bat,Right-arm fast,,
Karla Antoinette Cohen,May 10  1982 ,35 years 333 days,Jamaica Women,,Right-hand bat,Right-arm fast-medium,,
Rudolph Alexander Cohen,August 4  1942  Kingston  Jamaica ,75 years 247 days,Jamaica,,Right-hand bat,Right-arm fast-medium,,
Hallam Adolphus Fitzlaurie Cole,June 1  1874  Weymouth  St Michael  Barbados ,,Barbados,,Right-hand bat,,March 15  1932  Maxwell  Christ Church  Barbados (aged 57 years 288 days) ,
R Cole,date unknown ,,,,,,Umpire,
Tristann Donnardo Coleman,January 1  1995  Kingston  Jamaica ,23 years 97 days,Jamaica Under-19s ,,Right-hand bat,,Wicketkeeper,
Andre Nicolo Coley,September 22  1974  Kingston  Jamaica ,43 years 198 days,Jamaica,,Left-hand bat,,Wicketkeeper,
Alice Collins,date unknown ,,Trinidad &amp; Tobago Women,,,,,
Alison Collins,date unknown ,,Trinidad &amp; Tobago Women,,,,,
Allison Annie Collins,October 26  1992  Trinidad ,25 years 164 days,Trinidad &amp; Tobago Women,,Right-hand bat,Right-arm slow,,
Bro Collins,date unknown ,,Trinidad &amp; Tobago,,,,,
Charles Glen Collins,April 19  1880  Partick  Glasgow  Lanarkshire  Scotland ,,Jamaica,,,,details unknown ,
Fish Collins,date unknown ,,Trinidad &amp; Tobago,,,,,
