J Hembrook,date unknown ,,KwaZulu-Natal Women,,,,,
Michael Norman Hemsley,September 12  1968  Port Elizabeth  Cape Province ,49 years 208 days,Griqualand West,,Right-hand bat,,Wicketkeeper,
Charles Samuel Henchie,October 19  1910  East London  Cape Province ,,Griqualand West ,,,,May 23  1969  Pietermaritzburg  Natal (aged 58 years 216 days) ,
Andrew G Henderson,March 12  1942  Bloemfontein  Orange Free State ,76 years 27 days,Orange Free State,,Right-hand bat,,Wicketkeeper,
Benjamin Scott Henderson,May 22  1998  Durban ,19 years 321 days,Boland Under-15s ,,Right-hand bat,Right-arm medium,Somerset College,
Claude William Henderson,June 14  1972  Worcester  Cape Province ,45 years 298 days,South Africa ,,Right-hand bat,Slow left-arm orthodox,Brother - ,
Geoffrey Martin Henderson,December 27  1927  Bergville  Natal ,90 years 102 days,South Africa,,,,,
John Kerr Henderson,September 24  1926  Pretoria  Transvaal ,,Northerns,,Right-hand bat,Legbreak googly,Brother - ,
James Michael Henderson,August 6  1975  Worcester  Cape Province ,42 years 245 days,Boland ,,Left-hand bat,Right-arm offbreak,Brother - ,
John Thomas Henderson,August 24  1856  Gateshead  Co Durham  England ,,Natal,,,,August 28  1935  Durban  Natal (aged 79 years 4 days) ,
Robert H Henderson,date unknown ,,Eastern Province ,,Left-hand bat,Left-arm medium-fast,,
Samuel Scott Henderson,April 6  2000 ,18 years 2 days,Western Province Under-13s,,Right-hand bat,Right-arm medium,Somerset College,
Tyron Henderson,August 1  1974  Durban  Natal ,43 years 250 days,South Africa ,Bowler,Right-hand bat,Right-arm fast-medium,Grandfather - ,
William Andrew Henderson,November 19  1917  Pretoria  Transvaal ,,Northerns,,Right-hand bat,Right-arm bowler,Brother - ,
Armien Hendricks,date unknown  South Africa ,,,Bowler,,Right-arm fast (roundarm),,
Beuran Eric Hendricks,June 8  1990  Louis Leipoldt Hospital  Bellville  Cape Town ,27 years 304 days,South Africa ,Bowler,Left-hand bat,Left-arm fast-medium,,
Cornal Hendricks,April 18  1988  Paarl ,29 years 355 days,Springboks,,Right-hand bat,Right-arm slow-medium,,
