Rekharani Suren Bora,June 10  1994  Lakhimpur  Assam ,23 years 302 days,Assam Women,,Right-hand bat,Right-arm medium-fast,,
U Bora,date unknown ,,Assam,,,,,
Gyanesh Borah,February 23  1973  Gauhati (now Guwahati)  Assam ,45 years 44 days,Assam,,Right-hand bat,Right-arm fast-medium,Babua,
M Borah,date unknown ,,Assam,,,,,
Paramesh Borah,date unknown ,,Assam,,,,,
Rajesh Kumar Borah,November 14  1967  Tezpur  Assam ,50 years 145 days,Assam ,,Right-hand bat,Right-arm offbreak,,
Chandrakant Gulabrao Borde,July 21  1934  Poona (now Pune)  Maharashtra ,83 years 261 days,India ,,Right-hand bat,Legbreak,Brother - ,
Ramesh Gulabrao Borde,February 22  1952  Poona (now Pune)  Maharashtra ,66 years 45 days,Maharashtra,,Right-hand bat,Legbreak,Brother - ,
Githartha Sarat Bordoloi,October 13  1987  Jorhat  Assam ,30 years 177 days,Assam Under-14s,,Left-hand bat,Right-arm medium,Pikie,
K Bordoloi,date unknown ,,Assam,,,,,
Nishanta Harmohan Bordoloi,December 29  1977  Gauhati (now Guwahati)  Assam ,40 years 100 days,Assam,,Right-hand bat,Right-arm offbreak,Nishant,
E H Boreham,date unknown ,,Mysore,,,,,
Kumar Dinesh Boresa,August 25  1995  Pali  Rajasthan ,22 years 226 days,Rajasthan Royals ,,Right-hand bat,Slow left-arm orthodox,,
SR Borges,date unknown ,,,,,,Umpire,
D Borgohain,date unknown ,,Assam,,,,,
Rahul Subodh Borkar,April 14  1985  Karwar  Karnataka ,32 years 359 days,Karnataka,,Right-hand bat,,Wicketkeeper,
Vivek Bhimrao Borkar,October 29  1994  Bilaspur  Madhya Pradesh ,23 years 161 days,Chhattisgarh ,,Right-hand bat,,Wicketkeeper,
Dinesh Narendra Borwankar,July 21  1992 ,25 years 261 days,,,Right-hand bat,Right-arm offbreak,Wicketkeeper,
Hemali Borwankar,May 6  1995  Nagda  Maharashtra ,22 years 337 days,India Green Women,,Right-hand bat,,Wicketkeeper,
A Bose,date unknown ,,Jharkhand,,,,,
B Bose,date unknown ,,Assam,,,,,
Bikash Bose,date unknown ,,Jharkhand,,,,Brother - ,
Biraj Bose,date unknown ,,Jharkhand,,,,Brother - ,
