Sohel Rana,date unknown ,,Rajshahi Division,,,,,
Sohel Rana,date unknown ,,Baridhara Dazzlers,,,,,
Mohammad Sohel Tanvir,January 4  2000  Comilla ,18 years 94 days,Chittagong Division Under-16s,,Right-hand bat,,,
Mohammad Sohrab Hossain,April 11  1986 ,31 years 362 days,,,,,Umpire,
MD Sohrawordi Shuvo,November 21  1988  Rajshahi ,29 years 138 days,Bangladesh ,Bowler,Left-hand bat,Slow left-arm orthodox,,
Sojibul Islam,January 1  1999 ,19 years 97 days,Bangladesh Under-17s,,Right-hand bat,Right-arm offbreak,,
Mohammad Solaman Mollah Limon,March 2  2000  Faridpur ,18 years 37 days,Dhaka Division South Under-16s,,,Legbreak,,
Mohammad Somrat Ali Sardar,March 24  2000  Rajshahi ,18 years 15 days,Rajshahi Division Under-16s,,Right-hand bat,,,
Mohammad Somrat Ali Sardar,March 27  2000  Rajshahi ,18 years 12 days,Rajshahi Division Under-16s,,Right-hand bat,,,
Soumen Das,date unknown ,,Agrani Bank Cricket Club,,,,,
Soumya Sarkar,February 25  1993  Satkhira ,25 years 42 days,Bangladesh ,Middle-order batsman,Left-hand bat,Right-arm medium-fast,5 ft 10 in ,
Sourav Chowdhury,February 12  2000  Netrokona ,18 years 55 days,Dhaka Division North Under-16s,,Right-hand bat,,,
Subashis Roy,November 29  1988  Bangladesh ,29 years 130 days,Bangladesh A ,,Right-hand bat,Right-arm fast-medium,,
Subroto Sarker,date unknown ,,Abahani Limited,,,,,
Subroto Shekhar Sohag,date unknown ,,City Club,,,,,
Sujan Sikder,January 19  1994 ,24 years 79 days,European University of Bangladesh,,Right-hand bat,,,
Mohammad Suja Irfan,August 4  1978  Chittagong ,39 years 247 days,Chittagong Division,,Left-hand bat,Slow left-arm orthodox,,
Sujit Roy Tomal,June 15  1968  Chittagong ,49 years 297 days,,,,,Umpire,
Sujon Das,date unknown ,,,,,,Umpire,
Md Sujon Hawlader,June 23  1995 ,22 years 289 days,Old DOHS Sports Club ,,Right-hand bat,Right-arm medium,,
Sukanto Bishas,date unknown ,,Udayachal Club,,,,,
Sultana Yesmin Boishakhi,August 13  1989 ,28 years 238 days,Bangladesh Women,,Right-hand bat,,Wicketkeeper,
Sumit Chowdhury,date unknown ,,Uttara Sporting Club,,,,,
Sumon Barua,date unknown ,,Chittagong Division,,Right-hand bat,Right-arm medium-fast,,
Sumon Saha,April 10  1984  Sirajgonj ,33 years 363 days,Barisal Division ,,Right-hand bat,Right-arm fast-medium,,
Sunzamul Islam,January 17  1990  Rajshahi ,28 years 81 days,Bangladesh Cricket Board Academy ,Bowler,Left-hand bat,Slow left-arm orthodox,,
Supanth Sen Joy,September 19  2002 ,15 years 201 days,Dhaka Division South Under-14s,,Left-hand bat,,,
Suraiya Azmin,May 29  1999  Joypurhat ,18 years 314 days,Bangladesh Women,,Right-hand bat,Right-arm medium,,
Swadesh Mondol,November 25  1999  Barisal ,18 years 134 days,Barisal Division Under-16s,,Right-hand bat,,,
Mohammad Swad Sadmani,October 5  1998  Dhaka South ,19 years 185 days,Dhaka Division South Under-18s,,Right-hand bat,,,
Swakat Ali,date unknown ,,,,,,Umpire,
Swapon Kumar Sarkar,date unknown ,,,,,,Umpire,
Syed Golam Kibria Asik,date unknown ,,Surjo Torun Club,,,,,
Syed Mayedul Alam,date unknown ,,Sheikh Jamal Cricketers,,,,,
Syed Mahabubullah,June 15  1958  Dhaka ,59 years 297 days,,,,,Umpire,
Syed Maksudur Rahman Forkan,date unknown ,,Udayachal Club,,,,,
Syed Mokammel Ali,date unknown ,,Baridhara Dazzlers,,,,,
Syed Rasel,July 3  1984  Jessore ,33 years 279 days,Bangladesh ,,Left-hand bat,Left-arm medium-fast,,
SM Zakaria,date unknown ,,Sheikh Jamal Cricketers,,,,,
Touhid Tarek Khan,date unknown ,,Partex Sporting Club,,,,,
Taffazzal Hossain Tuku,date unknown ,,Orient Sporting Club,,,,,
Tafsin Ali Alvi,March 3  2000  Faridpur ,18 years 36 days,Dhaka Division South Under-16s,,,Right-arm offbreak,,
Mohammed Tahajib Ahmed,June 17  2002 ,15 years 295 days,Barisal Division Under-14s,,,Slow left-arm orthodox,,
Tahamidul Islam,March 9  2000  Shariatpur ,18 years 30 days,Dhaka Division South Under-16s,,Right-hand bat,,,
Tahin Tahera,June 28  1990  Khulna ,27 years 284 days,,,Left-hand bat,,,
Taibur Rahman,August 10  1991  Narayangonj ,26 years 241 days,Dhaka Division ,,Left-hand bat,Slow left-arm orthodox,Parvez,
Taijul Islam,February 7  1992  Natore ,26 years 60 days,Bangladesh ,Bowler,Left-hand bat,Slow left-arm orthodox,,
Taijul Islam,July 12  1998  Commila ,19 years 270 days,Chittagong Division Under-18s,,Right-hand bat,,,
Tajkia Akhter,November 11  1977  Bangladesh ,40 years 148 days,Bangladesh Women,,,,,
Talha Jubair,December 10  1985  Faridpur  Dhaka ,32 years 119 days,Bangladesh ,,Right-hand bat,Right-arm medium,,
Tamim Bashir,date unknown ,,Khulna Division,,,,Tushar,
Mohammad Tamim Hossain,December 1  1999  Bhola ,18 years 128 days,Barisal Division Under-16s,,Right-hand bat,,,
Tamim Iqbal Khan,March 20  1989  Chittagong ,29 years 19 days,Bangladesh ,Opening batsman,Left-hand bat,,Uncle - ,
Tamzid Ahmed Piash,June 1  2002 ,15 years 311 days,Dhaka Division South Under-14s,,Right-hand bat,Right-arm fast,,
Tanbir Hayder,December 5  1991  Rangpur ,26 years 124 days,Bangladesh Cricket Board Academy ,Middle-order batsman,Right-hand bat,Legbreak,Tanbir Hayder,
Tanjeeb Ahsan Saad,date unknown ,,Bangladesh,,,,,
Tanjeer Ahmed,date unknown ,,Baridhara Dazzlers,,,,,
Tanmoy Das,July 10  2002 ,15 years 272 days,Sylhet Divison Under-14s,,Left-hand bat,Slow left-arm orthodox,,
Tanmoy Hasan,December 16  1999  Kishoregonj ,18 years 113 days,Krira Shikkha Protisthan Under-16s,,Right-hand bat,Right-arm medium-fast,,
Tanmoy Roy,July 5  1990  Thakurga ,27 years 277 days,University of Liberal Arts,,Right-hand bat,Right-arm fast-medium,5 ft 7 in ,
Tanumoy Ghosh,December 10  1987  Rajshahi ,30 years 119 days,Rajshahi,Wicketkeeper batsman,Left-hand bat,,Wicketkeeper,
Tanumoy Gosh Tanu,date unknown ,,City Club,,,,,
Mohammad Tanvirul Islam Khan,September 1  1979  Bangladesh ,38 years 219 days,Bangladesh Under-19s,,Right-hand bat,Legbreak,,
Tanvir Ahmed,October 3  1972  Dhaka ,45 years 187 days,,,,,Umpire,
Tanvir Ahmed,January 1  1990 ,28 years 97 days,University of Liberal Arts,,Left-hand bat,,,
Tanvir Ahmed,October 7  2003 ,14 years 183 days,Barisal Division Under-14s,,,,,
Tanvir Ahmed,October 7  1998  Comilla ,19 years 183 days,Chittagong Division Under-18s,,Left-hand bat,,,
Tanvir Ahmed,January 24  2000  B.Baria ,18 years 74 days,Dhaka Metro Under-16s,,Right-hand bat,,,
Tanvir Ahmed,February 17  2000  Tangail ,18 years 50 days,Dhaka Division North Under-16s,,,Legbreak,,
Tanvir Haider,date unknown ,,Rangpur Division,,,,,
Tanvir Hasan Sandhan,December 26  2001  Rangpur ,16 years 103 days,Rangpur Division Under-18s,,Right-hand bat,,,
Mohammad Tanvir Hossain,date unknown ,,Bangladesh Krira Shikkha Protisthan,,,,,
Tanvir Islam,October 25  1996  Barisal ,21 years 165 days,Barisal Division ,,Left-hand bat,Slow left-arm orthodox,,
Mohammad Tanvir Islam,February 2  1999  Bagerhat ,19 years 65 days,Khulna Division Under-18s,,Right-hand bat,,,
Tanvir Mollik,April 17  2000  Khulna ,17 years 356 days,Khulna Division Under-16s,,Right-hand bat,,,
Mohammad Tanvir Sajib,December 20  2000  Satkhira ,17 years 109 days,Khulna Division Under-18s,,Left-hand bat,,,
Tanzid Hasan Tamim,December 1  1999  Bogra ,18 years 128 days,Rajshahi Division Under-18s,,Left-hand bat,,,
Tanzim Farhan,March 12  2003 ,15 years 27 days,Krira Shikkha Protisthan Under-14s,,Right-hand bat,,,
Mohammed Tanzim Hassan,June 18  2002 ,15 years 294 days,Krira Shikkha Protisthan Under-14s,,,Right-arm fast,,
Md Tanzim Hossain Sakib,date unknown ,,Bangladesh Under-17s,,,,,
Tapash Kumar Baisya,December 25  1982  Sylhet  Bangladesh ,35 years 104 days,Bangladesh ,,Right-hand bat,Right-arm fast-medium,5 ft 9 in ,
Taposh Ghosh,August 11  1991  Shatkhira  Khulna ,26 years 240 days,Bangladesh Under-19s ,,Left-hand bat,Slow left-arm orthodox,,
Syed Taqrimul Hadi,December 8  1978  Sylhet  Bangladesh ,39 years 121 days,Sylhet Division,,,,Kadi,
Tarek Aziz,date unknown ,,Orient Sporting Club,,,,,
Tarequl Islam Tareq,date unknown ,,Khelaghar Samaj Kallyan Samity,,,,,
Mohammad Tareq Aziz Khan,September 4  1983  Chittagong ,34 years 216 days,Bangladesh ,,Right-hand bat,Right-arm medium-fast,Tareq,
Tareq Aziz,date unknown ,,Bangladesh Under-19s,,,,,
