Envis Rebecca Williams,October 8  1962  Tobago ,55 years 182 days,West Indies Women,,,,,
F Williams,date unknown ,,South Trinidad,,,,,
G Williams,date unknown ,,,,,,Umpire,
Gavin Anjez Williams,November 18  1984  Bolans  Antigua ,33 years 141 days,Antigua and Barbuda ,,Right-hand bat,Right-arm medium,,
Horace Williams,November 24  1932  Victoria  Saint Mark’s  Grenada ,,Windward Islands,,,,May 16  2011 (aged 78 years 173 days) ,
Harold Hutton Williams,September 2  1959  Grenada ,58 years 218 days,Windward Islands,,Right-hand bat,,Wicketkeeper,
Harwood Wycum Williams,January 17  1970  St Kitts ,48 years 81 days,Leeward Islands ,Batsman,Right-hand bat,Right-arm medium,,
I Williams,date unknown ,,,,,,Umpire,
IE Williams,date unknown ,,,,,,Umpire,
Joe Williams,June 17  1911  Georgetown  Demerara  British Guiana ,,British Guiana,,Right-hand bat,Right-arm medium,November 2  1974  Guyana (aged 63 years 138 days) ,
Junior Alfred Williams,June 1  1950  Trelawny  Jamaica ,67 years 311 days,Jamaica ,,Right-hand bat,Right-arm fast-medium,,
Joseph Henderson Williams,September 1  1974  Foul Bay  St Philip  Barbados ,43 years 219 days,Barbados,,Right-hand bat,Right-arm fast-medium,,
Joseph Junior Williams,December 15  1989  Nevis ,28 years 114 days,Nevis,,Right-hand bat,Slow left-arm orthodox,,
Jason Lester Williams,September 5  1976  St Kitts ,41 years 215 days,Leeward Islands ,Wicketkeeper,Right-hand bat,,Wicketkeeper,
Jacqueline Monique Williams,March 4  1976  Ashton  Westmoreland  Jamaica ,42 years 35 days,,,,,Umpire,
Kenneth Alexander Williams,January 27  1968  Tobago ,50 years 71 days,Trinidad &amp; Tobago,,Right-hand bat,,,
Kelvin Claudius Williams,May 29  1959  Carapichaima  Trinidad ,58 years 314 days,Marylebone Cricket Club ,,Right-hand bat,Right-arm fast-medium,Coach,
Kenroy Da Costa Williams,August 9  1984  Harlington  St Philip  Barbados ,33 years 242 days,Barbados ,,Right-hand bat,Right-arm offbreak,,
Kesrick Omari Kenal Williams,January 17  1990  Spring Village  St. Vincent and the Grenadines ,28 years 81 days,West Indies ,Bowler,Right-hand bat,Right-arm fast-medium,,
Leonard Williams,date unknown  St Kitts ,,Leeward Islands,,Left-hand bat,Left-arm medium,,
Lloyd Williams,May 15  1939  Savanna-La-Mar  Westmoreland  Jamaica ,78 years 328 days,Jamaica,,,,,
