Syed Saba Karim,November 14  1967  Patna  Bihar ,50 years 159 days,India ,,Right-hand bat,,Wicketkeeper,
KR Karimanickam,date unknown ,,India,,,,Umpire,
Karim Baksh,date unknown ,,North West Frontier Province,,,,,
Karishma Dhawan,January 19  1981  Delhi ,37 years 93 days,Delhi Women,,Right-hand bat,Right-arm medium,Karishma,
Prakash Sanjeeva Karkera,March 20  1961  Bombay (now Mumbai)  Maharashtra ,57 years 33 days,Railways,,Right-hand bat,,,
Uday Narendra Karkera,June 19  1982  Bombay (now Mumbai)  Maharashtra ,35 years 307 days,Mumbai,,Left-hand bat,Left-arm medium,,
Vijay Ramchandra Karkhanis,May 7  1942  Bombay (now Mumbai)  Maharashtra ,75 years 350 days,Mumbai,,Right-hand bat,,Wicketkeeper,
Sandeep Karki,September 1  1987  Delhi ,30 years 233 days,Delhi Under-14s,,Right-hand bat,Right-arm medium,,
Priyanka Karmakar,date unknown ,,Nagaland Women,,,,,
Shuvra Shankha Karmakar,June 12  1987  Nadia  Bengal ,30 years 314 days,Services,,Right-hand bat,Slow left-arm orthodox,,
Tapanta Karmakar,April 29  1984 ,33 years 358 days,Tripura Under-14s,,Right-hand bat,Right-arm bowler,,
