Kit Arthurine Raymond,May 21  1930  Winton  Queensland ,,Australia Women ,,Right-hand bat,,Wicketkeeper,
Ralph Cossart Raymond,November 28  1912  Boonah  Queensland ,,Queensland,,Right-hand bat,Right-arm fast-medium,October 11  1982  Murgon  Queensland (aged 69 years 317 days) ,
Katherine Gayle Raymont,October 31  1959  Laidley  Queensland ,58 years 173 days,Australia Women ,,Right-hand bat,,Wicketkeeper,
Maxwell William Rayson,August 26  1912  Kew  Melbourne  Victoria ,,Victoria,,Left-hand bat,Legbreak googly,May 11  1993  Heidelberg  Melbourne  Victoria (aged 80 years 258 days) ,
Roger William Rayson,February 17  1942  Windsor  Victoria ,76 years 64 days,Victoria,,Left-hand bat,Legbreak googly,,
William Jones Rayson,December 18  1889  Malmsbury  Victoria ,,Victoria,,Right-hand bat,Legbreak googly,September 8  1957  Parkdale  Victoria (aged 67 years 264 days) ,
Ona Rea,date unknown ,,Queensland Women,,,,,
AD Reaburn,date unknown ,,,,,,Umpire,
Arthur Edwin Read,May 26  1908  Unley  Adelaide  South Australia ,,Western Australia,,Left-hand bat,,March 1  2001  Bentley  Perth  Western Australia (aged 92 years 279 days) ,
Karen Read,August 31  1959  North Fremantle  Western Australia ,58 years 234 days,Australia Women ,,Right-hand bat,Right-arm medium,,
