Norman Moore White,1887 ,,Hawke's Bay,,,,Brother - ,
Peter White,date unknown ,,Hawke's Bay,,,,,
Percy Claude White,1868  Wharehine  Auckland ,,Auckland,,,Right-arm slow,Brother - ,
Paul Erskine Whitelaw,February 10  1910  Auckland ,,New Zealand ,,Right-hand bat,,August 28  1988  Auckland (aged 78 years 200 days) ,
Samuel James George Whiteman,August 5  1982  Auckland ,35 years 260 days,Auckland,,Right-hand bat,Right-arm fast-medium,,
Onslow Rowan Davey Whitford,August 26  1923  Christchurch  Canterbury ,,Canterbury,,Right-hand bat,,Wicketkeeper,
Haig Herbert Whiting,March 29  1918  Wanganui ,,Wairarapa ,,,,November 16  2009  Wellington (aged 91 years 232 days) ,
Henry Beckett Whitta,March 2  1883  Christchurch  Canterbury ,,Canterbury,,Right-hand bat,Slow left-arm orthodox,July 11  1944  Christchurch  Canterbury (aged 61 years 131 days) ,
Gordon Lindsay Whyte,August 13  1915  Wellington ,,Wellington,,Left-hand bat,Right-arm slow,June 24  2007  Wellington (aged 91 years 315 days) ,
Robert Archibald Whyte,December 10  1907  Wellington ,,Wellington,,Right-hand bat,,Wicketkeeper,
Una Katherine Wickham,January 12  1922 ,,New Zealand Women,,,,1983  New Zealand (aged 60 years) ,
Daniel Jordan Wightman,August 5  1993  Auckland ,24 years 260 days,Central Districts,,Left-hand bat,Slow left-arm orthodox,,
William Cranston Henry Wigley,1871  Christchurch  Canterbury ,,Canterbury,,Right-hand bat,,December 4  1937 (aged 66 years) ,
