Michael St John Whitehead Burton,February 14  1944  Bulawayo  Rhodesia ,74 years 67 days,Eastern Province ,,Right-hand bat,Right-arm offbreak,,
Rowan Hilton Buskin,May 15  1965  Johannesburg  Transvaal ,52 years 342 days,Northerns,,Right-hand bat,,,
Ivan Desmond Busse,July 18  1914  King William's Town  Cape Province ,,Border,,Right-hand bat,,January 16  2011  Beacon Bay  East London (aged 96 years 182 days) ,
Edmund Peter Bussell,August 9  1928  Kimberley  Cape Province ,,Transvaal,,,Right-arm medium-fast,June 10  1988  Krugersdorp  Transvaal (aged 59 years 306 days) ,
B Buthelezi,date unknown ,,KwaZulu-Natal Inland Women,,,,,
Mzikhona Buthelezi,November 4  1999 ,18 years 169 days,Gauteng Under-17s,,Right-hand bat,Right-arm medium,,
Siyanda Buthelezi,January 4  1996  Pietermaritzburg ,22 years 108 days,KwaZulu-Natal Inland Under-19s,,Right-hand bat,,Wicketkeeper,
T Buthelezi,date unknown ,,Easterns Women,,,,,
Xolani Buthelezi,June 5  1996 ,21 years 321 days,Mpumalanga Under-17s,,Right-hand bat,Legbreak,Malekutu,
Benjamin Castor Hicks Butler,April 1  1935  Middelburg  Transvaal ,83 years 21 days,Transvaal ,,Right-hand bat,,,
G Butler,date unknown ,,Natal Country Districts,,,,,
