Nilesh Jesani,January 4  1989  Kenya ,29 years 108 days,Western Chiefs,,Right-hand bat,Right-arm offbreak,,
S Jina,date unknown ,,,,,,Umpire,
Suresh Bhimji Devji Joshi,April 12  1947  Nairobi  Kenya ,71 years 10 days,Kenya ,Top-order batsman,Left-hand bat,Slow left-arm orthodox,,
Emmanuel Juma Opura,October 10  1992 ,25 years 194 days,Kenya Under-15s,,Right-hand bat,Right-arm medium,,
Jerald Juma,date unknown ,,,,,,Umpire,
Sharon Juma,March 9  1991 ,27 years 44 days,Kenya Women,,Right-hand bat,,Wicketkeeper,
James Kabatha Kamande,December 12  1978  Muranga ,39 years 131 days,Kenya ,Bowler,Right-hand bat,Right-arm offbreak,,
Muslim Kanji,date unknown ,,Kenya,,,,,
Ashish Vinod Karia,June 4  1986  Mombasa  Kenya ,31 years 322 days,Kenya,,Right-hand bat,Right-arm medium-fast,Brother - ,
Sagar Rohit Karia,June 3  1988  Mombassa  Kenya ,29 years 323 days,Coast Pekee ,,Right-hand bat,Right-arm medium,Brother - ,
Aasif Yusuf Karim,December 15  1963  Mombasa ,54 years 128 days,Kenya ,,Right-hand bat,Slow left-arm orthodox,Son - ,
Irfan Ali Karim,September 25  1992 ,25 years 209 days,Kenya ,Middle-order batsman,Left-hand bat,Right-arm offbreak,Father - ,
