Eid Mohammad,date unknown ,,Maidan Wardak Province Under-17s,,,,,
Elech Ahmed,January 1  1976  Afghanistan ,42 years 111 days,Kent 2nd XI ,,Right-hand bat,Right-arm medium-fast,,
Elham,date unknown ,,Laghman Province Under-17s,,,,,
Elyas Khan,June 23  2002  Nangarhar ,15 years 303 days,Nangarhar Province Under-16s,,,,,
Elyas Khan,November 3  1997 ,20 years 170 days,Kabul Province,,Right-hand bat,Right-arm fast-medium,,
Emal Khan,date unknown ,,Etisalat Cricket Club,,Right-hand bat,,,
Enayat,date unknown ,,Speenghar Cricket Club,,Right-hand bat,Slow left-arm orthodox,,
Enayatullah,date unknown ,,MECC Cricket Club,,Right-hand bat,,,
Esmatullah,January 3  1999  Balkh ,19 years 109 days,Balkh Province,,Right-hand bat,,,
Ezatullah,March 11  2001  Kunar ,17 years 42 days,Kunar Province Under-16s,,,,,
Ezatullah Zazai,February 3  1996  Paktia ,22 years 78 days,Paktia Province,,Right-hand bat,Right-arm offbreak,,
Farhadullah,date unknown ,,Aptech Cricket Club,,Right-hand bat,Right-arm medium-fast,,
