Peter Tharishnan Muruthi,July 15  1986  Warwickshire  England ,31 years 281 days,Singapore,,Right-hand bat,Right-arm offbreak,,
Sreerabgam Muruthi,May 31  1952  Singapore ,65 years 326 days,Singapore,,Right-hand bat,Right-arm offbreak,,
Arjun Mutreja,May 3  1990  Alwar  Rajasthan ,27 years 354 days,Singapore Cricket Association,,Right-hand bat,Right-arm offbreak,Nanyang Technological University  Singapore,
Anis Nabila,December 18  1990  Singapore ,27 years 125 days,Singapore Women,,,,,
M Narayenan,date unknown ,,Singapore,,,,Umpire,
Bonguram Narender Reddy,November 22  1982  Hyderabad ,35 years 151 days,Singapore ,,Right-hand bat,Right-arm offbreak,,
Anand Natarajan,July 31  1971 ,46 years 265 days,Singapore,,,,Umpire,
Nauveed Salim,date unknown ,,Singapore Under-19s,,,,,
M Neethianathan,date unknown ,,Singapore,,,,Wicketkeeper,
James Newman,date unknown ,,Singapore Cricket Club,,,,,
Ninad Dalvi,May 21  1977  Mumbai ,40 years 336 days,Singapore,,,,Umpire,
RA Oliveiro,date unknown ,,Singapore,,,,,
Anish Edward Paraam,July 19  1990 ,27 years 277 days,Singapore ,,Right-hand bat,Slow left-arm orthodox,,
Navin Michael S Param,October 21  1995  Singapore ,22 years 183 days,Singapore Under-16s,,Right-hand bat,Right-arm offbreak,,
