R Prabhakar,date unknown ,,Madras ,,,,,
R Prabhakar,April 21  1993 ,25 years 1 days,Jain Bangalore,,Right-hand bat,Right-arm medium,Jain Bangalore,
Prabhakaran,date unknown ,,Kerala,,,,,
Anusha Prabhakaran,date unknown ,,Tamil Nadu Women,,,,,
K Prabhakar Raju,date unknown ,,Andhra ,,,Slow left-arm orthodox,,
MN Prabhakar Raju,September 18  1940  Kakinada  Andhra Pradesh ,77 years 216 days,Andhra,,Right-hand bat,Slow left-arm orthodox,,
K Prabhakar Rao,date unknown ,,India,,,,Umpire,
Udipi Prabhakar Rao,August 4  1935  Madras (now Chennai) ,82 years 261 days,Madras,,Right-hand bat,Right-arm fast-medium,,
K Prabhakar Reddy,April 3  1940  Nellore  Andhra Pradesh ,78 years 19 days,Andhra,,Right-hand bat,,Wicketkeeper,
Prabhat Singh,date unknown ,,Nawanagar,,,,,
Prabhu,date unknown ,,,,Right-hand bat,Right-arm fast,,
Murthy Prabhu,December 14  1987  Chennai ,30 years 129 days,Ruby Trichy Warriors ,,Right-hand bat,Right-arm offbreak,,
B Prabhu,date unknown ,,,,,,Umpire,
