Sitanshu Hargovindbhai Kotak,October 19  1972  Rajkot  Gujarat ,45 years 185 days,Saurashtra ,,Left-hand bat,,,
Manish Mukund Kotasthane,October 9  1971  Ahmednagar  Maharashtra ,46 years 195 days,Maharashtra,,Left-hand bat,Right-arm offbreak,,
Amrish Suryakant Kotecha,September 6  1974  Ahmedabad  Gujarat ,43 years 228 days,Gujarat,,Left-hand bat,Slow left-arm orthodox,,
Tokala Koteswar Rao,December 24  1987  Kotrapadu  Andhra Pradesh ,30 years 119 days,Andhra,,Right-hand bat,Right-arm offbreak,,
S Kothane,date unknown ,,Holkar,,,,,
R V Kothare,date unknown ,,Hindus,,,,,
Karsh Manish Kothari,February 29  1996  Ahmedabad  Gujarat ,22 years 52 days,Mumbai ,,Left-hand bat,Slow left-arm orthodox,,
Shubham Ashok Kothari,September 7  1996  Solapur  Maharashtra ,21 years 227 days,Maharashtra ,,Right-hand bat,Right-arm offbreak,,
Tejpal Jayantilal Kothari,February 23  1964  Ahmedabad  Gujarat ,54 years 58 days,Karnataka,,Left-hand bat,Left-arm medium,,
Yash Kothari,October 6  1995  Bhilwara  Rajasthan ,22 years 198 days,Jaipur Pink City Royals,,Right-hand bat,Legbreak googly,,
Rohan Kothi,December 27  1979 ,38 years 116 days,Baroda,,Right-hand bat,Right-arm offbreak,,
Devraj Koti,September 19  1986 ,31 years 215 days,Shamanoor Davangere Diamonds,,Right-hand bat,,,
