Petrus van Rensburg,March 28  1977  Virginia  Orange Free State ,41 years 25 days,Free State,,Right-hand bat,Slow left-arm orthodox,,
Tristan Jansen van Rensburg,January 31  2001 ,17 years 81 days,Northerns Under-15s,,Left-hand bat,Right-arm offbreak,Menlopark,
Anton van Rooyen,date unknown ,,University of Johannesburg,,,,,
Daniel Van Rooyen,June 5  2002 ,15 years 321 days,Zimbabwe Under-13s,,Right-hand bat,Right-arm offbreak,St Johns College,
Essias Engelbrecht van Rooyen,March 27  1960  Cape Town  Cape Province ,58 years 26 days,Boland,,Left-hand bat,Left-arm fast-medium,,
J van Rooyen,date unknown ,,Griqualand West,,,,,
Jan-Andre van Rooyen,February 23  1993 ,25 years 58 days,Easterns Under-19s,,Right-hand bat,Right-arm medium-fast,,
Karrine van Rooyen,date unknown ,,Boland Women,,,,,
N van Rooyen,date unknown ,,South African Country Districts,,,,,
Pieter Gysbert van Rooyen,August 8  1978  Nelspruit ,39 years 257 days,Northerns,,Right-hand bat,Right-arm offbreak,,
Rian van Rooyen,February 6  1965  Welkom  Orange Free State ,53 years 75 days,Orange Free State ,,Right-hand bat,,,
