Terry Bates,date unknown ,,United States of America,,,,,
W E Bates,date unknown ,,Philadelphians,,,,,
Karen Bayles,date unknown ,,United States of America Women,,,,,
Beatty,date unknown ,,Canada and United States of America,,,,,
Claudine Beckford,October 10  1988  St. Thomas  Jamaica ,29 years 194 days,United States of America Women,,Right-hand bat,Right-arm offbreak,,
Reginald Benjamin,February 7  1961  Antigua ,57 years 74 days,United States of America,,,,,
Rishi Bhardwaj,August 5  1983  Yamuna Nagar  Haryana  India ,34 years 260 days,North West Region,,Right-hand bat,,,
Ritu Bhargava,July 24  1976  India ,41 years 272 days,United States of America Women,,Right-hand bat,Legbreak,,
Shebani Mandhakini Bhaskar,October 7  1994  Evergreen Park  Illinois ,23 years 197 days,United States of America Women,,Right-hand bat,Legbreak,Wicketkeeper,
Sohan M Bhat,August 15  2001  Bangalore  Karnataka ,16 years 250 days,United States of America Under-19s,,Left-hand bat,Slow left-arm orthodox,,
Raj Harshvardhan Bhavsar,March 2  1994  Ahmedabad  India ,24 years 51 days,Atlantic Region,,Left-hand bat,Slow left-arm orthodox,,
Louis Alexander Biddle,1860 ,,GS Patterson's XI,,,,October 1  1940  Vichy  France (aged 80 years) ,
Lynford Arthur Biddle,1876  Chestnut Hill  Philadelphia  Pennsylvania ,,Philadelphians,,Left-hand bat,,January 24  1941  Philadelphia  Pennsylvania (aged 65 years) ,
