Susanta Pathak,June 18  1954 ,63 years 308 days,,,,,Umpire,
Susan Bhari,March 6  1995 ,23 years 47 days,Chandigarh Cheetaas,,Left-hand bat,Slow left-arm orthodox,,
Pallimoni Sushact,September 27  1986  Hyderabad  Andhra Pradesh ,31 years 207 days,Hyderabad (India),,Left-hand bat,Legbreak,Mony,
Subhash Konda Sushanth,July 30  1977  Mysore  Karnataka ,40 years 266 days,Karnataka,,Right-hand bat,Right-arm medium,,
Samir Purshottam Sushil,March 7  1970  Ahmedabad  Gujarat ,48 years 46 days,Gujarat,,Right-hand bat,Right-arm medium,,
Sushil Gourd,July 13  1978  Benaras ,39 years 283 days,India Blind,,Right-hand bat,Right-arm bowler,Golden,
Sushil Kumar,November 25  1985  Delhi ,32 years 148 days,Delhi Under-16s,,Right-hand bat,Right-arm offbreak,,
Paresh Hemant Sutane,April 14  1975  Nagpur  Maharashtra ,43 years 8 days,Vidarbha,,Right-hand bat,Right-arm medium,,
Rajesh Janardhan Sutar,December 19  1967  Thana  Maharashtra ,50 years 124 days,Mumbai,,Right-hand bat,Right-arm offbreak,,
RP Sutar,date unknown ,,Hindus,,,,,
Umesh Suthar,date unknown ,,Kota Chambal Tigers,,Right-hand bat,,,
Dwizen Sutradhar,October 10  1981 ,36 years 194 days,Tripura,,Right-hand bat,Right-arm medium,Dwizen,
