Shohil Ali Sadruddin Jiwani,June 22  1978 ,39 years 304 days,Saurashtra,,,,,
Jiwanjot Singh Chouhan,November 6  1990  Patiala ,27 years 167 days,Punjab,,Right-hand bat,Right-arm offbreak,,
J Jiya,date unknown ,,Jharkhand,,,,,
Karapak Kuzhiyil Jiyas,October 21  1991  Narikkuni  Calicut  Kerala ,26 years 183 days,Delhi Daredevils,Bowler,Right-hand bat,Slow left-arm chinaman,,
Jobanpreet Singh,date unknown ,,Jaisalmer Jaguars,,Right-hand bat,,,
Keshavlal Hirachand Jobanputra,1915 ,,Western India,,,Right-arm medium,February 5  1981 (aged 66 years) ,
Sandeep Pravinkumar Jobanputra,March 13  1981  Rajkot  Gujarat ,37 years 40 days,Saurashtra,,Right-hand bat,Left-arm medium,Jolly,
Jodh Singh,date unknown ,,Jharkhand,,,,Referee,
SS Jog,date unknown ,,Madhya Pradesh,,,,,
Nilima Jogalekar,July 1  1961 ,56 years 295 days,India Women ,,,,Referee,
Joginder Sharma,October 23  1983  Rohtak ,34 years 181 days,India ,Allrounder,Right-hand bat,Right-arm fast-medium,,
Joginder Singh,July 11  1980  Delhi ,37 years 285 days,Bharat Sanchar Nigam Limited ,,Right-hand bat,Right-arm medium,,
Joginder Singh,December 12  1975  Bhiwani  Haryana ,42 years 131 days,Haryana,,Left-hand bat,Slow left-arm orthodox,,
