Mohammad Hasan Khan,date unknown ,,Muslims,,,,,
Mohammad Hussain,date unknown ,,Central India ,,,,,
Mohammad Hussain,date unknown ,,Central Provinces and Berar,,,,,
Mohammad Ibrahim,date unknown ,,Sind,,,,,
Mohammad Imran Khan,November 24  1984  Hyderabad  Andhra Pradesh ,33 years 149 days,Hyderabad Under-16s,,Left-hand bat,,,
Mohammad Ishaq,date unknown ,,Delhi,,,,,
Mohammad Javed Idrish,December 10  1993  Saharanpur  Uttar Pradesh ,24 years 133 days,Uttar Pradesh ,,Right-hand bat,Right-arm medium,,
Mohammad Khan,date unknown ,,Crescent Club of Lahore ,,,,,
Sardar Mohammad Khan,date unknown ,,Central India ,,,,,
Mohammad Lateef,date unknown ,,Nawab of Moin-ud-Dowlah XI,,,,,
Mohammad Muddassir Hussain,November 29  1992  Hybderabad ,25 years 144 days,Hyderabad (India) ,,Right-hand bat,Right-arm medium,,
