Anele Jonas,May 22  2001  Cape Town ,16 years 335 days,Boland Under-15s,,Right-hand bat,Right-arm medium,Western Cape Sport School,
G Jonas,date unknown ,,Orange Free State,,,,,
Joe Jonas,December 31  2000  Stellenbosch ,17 years 112 days,Glenwood High School,,Right-hand bat,,Glenwood High School,
Lesedi Jonas,October 21  2000 ,17 years 183 days,Prestige College,,Right-hand bat,,,
Siyanda Jonas,September 9  1988  Port Elizabeth  Cape Province ,29 years 225 days,Eastern Province Under-19s,,Right-hand bat,,Wicketkeeper,
T Jonas,date unknown ,,Eastern Province Women,,,,,
Brendon Jonathan,May 9  1979 ,38 years 348 days,,,,,Umpire,
Jones,date unknown ,,Northern Transvaal Country Districts,,,,,
A Jones,date unknown ,,Eastern Transvaal,,,,,
Colin Jones,March 11  1945  Johannesburg  Transvaal ,73 years 42 days,,,,,Umpire,
Charles Henry Kingsley Jones,May 31  1909  Johannesburg  Transvaal ,,Transvaal,,Right-hand bat,,January 31  1985  Winston Park  Gillitts  Natal (aged 75 years 245 days) ,
