Jayakumar S Deepthi,July 19  1996  Trivandrum (now Thiruvananthapuram)  Kerala ,21 years 277 days,Kerala Women,,Right-hand bat,,,
SR Deepu,date unknown ,,,,,,Umpire,
Deepu Yadav,July 27  1987  Varanasi  Uttar Pradesh ,30 years 269 days,Uttar Pradesh Under-16s,,Right-hand bat,Right-arm offbreak,,
K Deka,date unknown ,,Assam,,,,,
Nayan Jyoti Deka,November 6  1984  Guwahati  Assam ,33 years 167 days,Assam Under-16s,,Right-hand bat,Legbreak,Nayan,
Ranjan Deka,April 15  1984  Guwahati  Assam ,34 years 7 days,Assam,,Right-hand bat,Right-arm offbreak,,
S Deka,date unknown ,,Assam,,,,,
Edward Frank Earnleigh De Kretser,June 30  1920  Colombo  Ceylon ,,Europeans (India),,Right-hand bat,,June 14  1981  Torquay  Victoria  Australia (aged 60 years 349 days) ,
Anthony Stanislaus De Mello,October 11  1900  Karachi  Sind ,,Delhi ,,,,Sind College; Downing College  Cambridge,
Sankara Lingam Dendapani,January 12  1958  Ernakulam  Kerala ,60 years 100 days,Kerala,,Right-hand bat,Right-arm medium,Umpire,
VN Dendapani,date unknown ,,,,,,Umpire,
Robert Dale Denniston,January 3  1890  Croydon  Surrey  England ,,Europeans (India),,,,November 19  1946  Hythe  Kent  England (aged 56 years 320 days) ,
Suresh D. Deo,March 20  1946 ,72 years 33 days,,,,,Umpire,
TN Deo,date unknown ,,Holkar,,,,,
