Kelly Griffith,October 29  1997 ,20 years 175 days,Namibia Under-15s,,Right-hand bat,Right-arm medium,,
Dirk Grobler,date unknown ,,Namibia Under-19s,,,,,
Brandon Groenewald,February 14  1997 ,21 years 67 days,Namibia Under-15s,,Left-hand bat,Right-arm medium-fast,,
Lezaan Groenewald,date unknown ,,Namibia Women,,,,,
Pieter Coetzee Groenewald,July 1  1992  Outjo  Namibia ,25 years 295 days,Namibia ,,Right-hand bat,Right-arm offbreak,,
Shalako Groenewald,June 8  1993 ,24 years 318 days,Namibia ,,Right-hand bat,Right-arm offbreak,,
Willem Johannes Groenewald,June 27  1990 ,27 years 299 days,Namibia,,Right-hand bat,Right-arm offbreak,,
Zhivago Groenewald,June 8  1993  Walvis Bay ,24 years 318 days,Namibia ,,Right-hand bat,,,
Pieter Jacobus Grove,March 20  1986  Windhoek ,32 years 33 days,Namibia ,,Right-hand bat,,,
Lauritz Haccou,April 24  1994 ,23 years 363 days,Namibia Under-19s,,Right-hand bat,,Otjiwarongo SS,
Jaco Havenega,January 8  1980  Bellville  Cape Town ,38 years 104 days,,,,,Umpire,
Robert Jacobs Herridge,May 12  1985  Outso ,32 years 345 days,Namibia,,Right-hand bat,Right-arm medium,,
Hein Heydenrych,date unknown ,,,,,,Umpire,
