Duncan McIlveen,date unknown  Newcastle  New South Wales ,,New South Wales Country,,Right-hand bat,Right-arm fast-medium,,
John McIlwraith,September 7  1857  Collingwood  Melbourne  Victoria ,,Australia ,,Right-hand bat,,July 5  1938  Camberwell  Melbourne  Victoria (aged 80 years 301 days) ,
Alan Roderick McInnes,May 29  1907  Kensington  Victoria ,,Victoria,,Right-hand bat,,Wicketkeeper,
Melville James McInnes,August 30  1915  Prospect  Adelaide  South Australia ,,,,,,Umpire,
Mark William McInnes,April 16  1977  Wagga Wagga  New South Wales ,41 years 6 days,Australian Cricket Academy,,Right-hand bat,Legbreak googly,,
Richard John McInnes,April 22  1974  Kingaroy  Queensland ,44 years 0 days,,Allrounder,Right-hand bat,Right-arm medium,1.82 m ,
Rodney McIntosh,1988 ,30 years,Queensland Under-17s ,,Left-hand bat,Left-arm fast-medium,,
A McIntyre,date unknown ,,,,,,Umpire,
AD McIntyre,date unknown ,,,,,,Umpire,
