Khatib Syed Shahabuddin,July 1  1979  Kadiri  Andhra Pradesh ,38 years 295 days,Andhra ,,Right-hand bat,Right-arm medium-fast,,
Shahab Khan,December 11  1983 ,34 years 132 days,Madhya Pradesh,,Right-hand bat,,,
Parag Tribak Shahane,August 1  1977  Banda  Uttar Pradesh ,40 years 264 days,Maharashtra,,Right-hand bat,,Wicketkeeper,
Rupesh Dnyaneshwar Shahane,November 3  1975  Nagpur  Maharashtra ,42 years 170 days,Vidarbha,,Right-hand bat,Right-arm offbreak,,
S Shahane,date unknown ,,Services,,,,,
Vignesh Ashok Shahane,December 12  1969  Visakhapatnam  Andhra Pradesh ,48 years 131 days,Mumbai ,,Right-hand bat,Right-arm medium,,
Shahbuddin Khan,February 10  1987 ,31 years 71 days,Jaipur Jaguars,,Left-hand bat,Slow left-arm orthodox,,
Chovvakkaran Payarambath Shahid,February 8  1983  Thalassery  Kerala ,35 years 73 days,Kerala,,Left-hand bat,Slow left-arm orthodox,,
Mohammad Shahid,November 11  1948  Aligarh  Uttar Pradesh ,,Railways ,,Right-hand bat,Legbreak googly,December 12  2014  Aligarh (aged 66 years 31 days) ,
Mohammed Shahid,January 5  1986  Patna  Bihar ,32 years 107 days,Bihar Under-16s,,Right-hand bat,Right-arm medium,Shanu,
Shahid Khan,October 7  1975  Jamshedpur  Bihar ,42 years 197 days,Jharkhand,,Right-hand bat,Slow left-arm orthodox,Shahid,
Shahid Saherwala,date unknown ,,St Xavier's High School,,,,,
