Tariq Rasheed Sheikh,March 10  1978  Lahore  Punjab ,40 years 43 days,Lahore,,Right-hand bat,Right-arm offbreak,,
Syed Tariq Ali Sabzwari,November 2  1978  Karachi  Sind ,39 years 171 days,Karachi,,Right-hand bat,,Wicketkeeper,
Tariq Saleem,date unknown ,,Dera Ismail Khan,,,,,
Tariq Saleem,date unknown ,,Pakistan University Grants Commission,,,,,
Tariq Sarwar,September 3  1969  Rahimyar Khan  Punjab ,48 years 231 days,Bahawalpur,,Right-hand bat,Right-arm medium,,
Rana Tariq Shabbir,September 8  1972  Multan  Punjab ,45 years 226 days,Multan ,,Right-hand bat,Right-arm offbreak,,
Tariq Shafi,September 11  1946  Amballa  Punjab  India ,71 years 223 days,Rawalpindi ,,Right-hand bat,Legbreak googly,,
Tariq Sohail,September 3  1967  Okara  Punjab ,50 years 231 days,Lahore Division,,Right-hand bat,,Wicketkeeper,
Tariq Sultan,January 1  1993  Sibi  Baluchistan ,25 years 111 days,Dera Murad Jamali Ibexes,,Right-hand bat,Right-arm offbreak,,
Tariq Wahab,date unknown ,,Commercial Bank ,,,,Father - ,
Tariq Yousuf,December 22  1969  Sialkot  Punjab ,48 years 121 days,United Bank Limited,,Right-hand bat,Legbreak googly,,
Tasaddaq Jamal,date unknown ,,,,,,Umpire,
Tasaddaq Jamal,date unknown ,,,,,,Umpire,
Tasawar Abbas,September 9  1982  Karachi  Sind ,35 years 225 days,Karachi Dolphins,,Right-hand bat,,,
