Aftab Hussain,April 3  1991  Udaipur  Rajasthan  India ,27 years 19 days,Arenco IT,,,,,
Aftab Hussain,date unknown ,,Averda,,,,,
Afzal Yakoob,date unknown ,,DXB Municipality,,,,,
Ahad,date unknown ,,Team Mavericks,,,,,
Ahaf,date unknown ,,Falcons,,,,,
Thuwan Mohamed Faiz Ahamath,September 12  1963  Hambantota  Sri Lanka ,54 years 222 days,United Arab Emirates ,,Right-hand bat,Right-arm medium-fast,,
Ahan,date unknown ,,Evergreen,,,,,
Ahasan Washim,date unknown ,,Al Jaber Blazer,,,,,
Ahhad,date unknown ,,Alliance Insurance,,,,,
Ahjalo,date unknown ,,Naik Riders,,,,,
Ahmed,date unknown ,,Faisal 11,,,,,
