Natasha Allen,date unknown ,,Nottinghamshire Women,,,,,
Jhangir Abbas,December 17  1970  Longsight  Manchester  Lancashire ,47 years 126 days,Cheshire,,Right-hand bat,Right-arm offbreak,,
Y Abbas,date unknown ,,Durham 2nd XI,,,,,
Abberley,date unknown ,,,,,,Umpire,
Mark Challenor Abberley,October 22  1967  Llandridnod Wells  Radnor  Wales ,50 years 182 days,Herefordshire,,Right-hand bat,,,
Robert Neal Abberley,April 22  1944  Stechford  Birmingham  Warwickshire ,,Warwickshire,,Right-hand bat,Right-arm medium,August 8  2011 (aged 67 years 108 days) ,
David Robert Abbey,December 11  1941  Edmonton  Middlesex ,76 years 132 days,Middlesex,,Right-hand bat,Slow left-arm orthodox,,
Abbott,date unknown ,,England,,,,,
Alan Wesley Abbott,November 15  1926  Sutton-in-the-Elms  Leicestershire ,,Leicestershire,,Right-hand bat,Right-arm offbreak,November 28  2008 (aged 82 years 13 days) ,
Charles James Abbott,1815  St Pancras  London ,,Surrey,,,,January 6  1889  Walton-on-Thames  Surrey (aged 74 years) ,
Frederick Julius Abbott,November 25  1901  Wellington  New Zealand ,,Worcestershire,,Right-hand bat,,May 4  1952  Banstead  Surrey (aged 50 years 161 days) ,
Herbert Edward Stacy Abbott,April 6  1855  Alipore  India ,,Marylebone Cricket Club,,,,June 13  1939  Richmond  Surrey (aged 84 years 68 days) ,
