Graham Albert Stewart,April 29  1950  Monto  Queensland ,67 years 358 days,Queensland Country,,Right-hand bat,Right-arm medium,Umpire,
Gordon Lionel Stewart,June 16  1906  Petersham  Sydney  New South Wales ,,New South Wales,,Right-hand bat,Right-arm fast-medium,October 21  1984  Katoomba  New South Wales (aged 78 years 127 days) ,
James Stewart,August 22  1970  East Fremantle  Western Australia ,47 years 243 days,New South Wales ,,Right-hand bat,Slow left-arm orthodox,,
James C Stewart,date unknown ,,Victoria,,,,,
Luke Stewart,August 7  1990  Kalgoorlie  Western Australia ,27 years 258 days,Australian Universities,,Right-hand bat,,Wicketkeeper,
Mark W Stewart,January 16  1983 ,35 years 96 days,South Hobart-Sandy Bay ,,Right-hand bat,Right-arm medium,,
Trevor George Stewart,March 15  1940  Mount Isa  Queensland ,78 years 38 days,Queensland,,Right-hand bat,Right-arm fast-medium,,
William Stewart,circa 1844 ,,Victoria,,,Left-arm fast-medium (roundarm),,
Wade Stewart,date unknown ,,,,,,Umpire,
Lisa Carprini Sthalekar,August 13  1979  Poona (now Pune)  Maharashtra  India ,38 years 252 days,Australia Women ,,Right-hand bat,Right-arm offbreak,,
Colin George Reinzi Stibe,April 22  1916  Bundaberg  Queensland ,,Queensland,,Right-hand bat,,January 6  1970  Sydney  New South Wales (aged 53 years 259 days) ,
Robert Stuart Still,March 15  1822  Bathurst  New South Wales ,,Tasmania,,,Right-arm fast (roundarm),July 5  1907  Launceston  Tasmania (aged 85 years 112 days) ,
