Shane Charles Getkate,October 2  1991  Ireland ,26 years 202 days,Ireland ,,Right-hand bat,Right-arm medium-fast,Grandfather - ,
J Gibbons,date unknown ,,,,,,Umpire,
Aisling Maria Gill,August 3  1994  Dublin ,23 years 262 days,Ireland Under-17s Women,,Right-hand bat,,Sister - ,
Eimear Gill,February 10  1992 ,26 years 71 days,Ireland Under-17s Women,,Right-hand bat,Right-arm bowler,Sister - ,
James Rupert Gill,September 24  1911  Dublin ,,Ireland,,Right-hand bat,,October 18  2000  Blackrock  Dublin (aged 89 years 24 days) ,
Neil Gill,September 1  1986  Antrim Town ,31 years 233 days,Ireland Under-19s,,Right-hand bat,Right-arm fast-medium,,
Roderick Ian Gill,July 21  1919  Dublin ,,Ireland,,Right-hand bat,Right-arm medium,October 28  1983  Dublin (aged 64 years 99 days) ,
Aaron Gillespie,March 13  1997 ,21 years 40 days,Ireland Under-15s ,,,,,
Matthew Gillespie,date unknown ,,Ireland Under-15s,,,,,
Mark Anthony Gillespie,August 26  1969  Londonderry ,48 years 239 days,Ireland,,Left-hand bat,Legbreak googly,Brother - ,
Peter Gerard Gillespie,May 11  1974  Strabane  Co Tyrone ,43 years 346 days,Ireland ,,Right-hand bat,Right-arm medium,Brother - ,
Michael Gilmour,date unknown ,,Northern Knights,,,,,
Robin Glenn,date unknown  Ballykelly  Co Londonderry ,,,,,,Referee,
Lee Goldsmith,date unknown ,,,,,,Umpire,
