Charles Maurice Neustetel,March 21  1873  Kensington  London  England ,,Transvaal,,,,Wicketkeeper,
Kirk Nevay,January 15  2002  George ,16 years 97 days,South Western Districts Under-13s,,Right-hand bat,Right-arm offbreak,Glenwood House,
Ronny Adziambei Nevumbani,October 14  1980  Vhufuli  Venda  Limpopo ,37 years 190 days,Mpumalanga ,,Left-hand bat,Left-arm medium-fast,,
Claude Newberry,1889  Port Elizabeth  Cape Province ,,South Africa ,,Right-hand bat,Right-arm fast  Legbreak,August 1  1916  France (aged 27 years) ,
Jack Peter Christopher Newby,November 20  1993  Islington  London  United Kingdom ,24 years 153 days,University of Cape Town ,,Left-hand bat,Right-arm offbreak,,
Thomas Newby,May 19  2003 ,14 years 338 days,Western Province Under-13s,,Right-hand bat,Right-arm offbreak,,
William Crawford Newby,October 1856  Stockton-on-Tees  Co Durham  England ,,Transvaal,,,,August 2  1921  Thornton-le-Dale  Yorkshire  England (aged 64 years) ,
C Newers,date unknown ,,Easterns Under-19s,,,,,
Anwell Noel Newman,December 10  1966  Stellenbosch  Cape Province ,51 years 133 days,Boland,,Right-hand bat,Right-arm fast-medium,,
Ian George Newman,August 17  1932  Bloemfontein  Orange Free State ,85 years 248 days,Orange Free State,,,,,
Lewis Cyril Ashby Newnham,September 13  1881  Jansenville  Cape Province ,,Border ,,Left-hand bat,Left-arm bowler,Cranleigh School  Surrey,
John Newsome,February 2  1993 ,25 years 79 days,St John's College,,Right-hand bat,,Wicketkeeper,
