Arjun Shetty,date unknown ,,Karnataka XI,,,,,
Arun Sheshgiri Shetty,January 6  1969  Bombay (now Mumbai)  Maharashtra ,49 years 106 days,Goa,,Left-hand bat,Slow left-arm orthodox,,
Arjun Uday Shetty,April 14  1988  Bangalore ,30 years 8 days,Bangalore Provident (Rural),,Right-hand bat,Slow left-arm orthodox,,
Bravish Ratnakar Shetty,October 27  1987 ,30 years 177 days,Dr DY Patil Sports Academy,,Right-hand bat,Legbreak googly,,
Sahil Chetty,date unknown ,,KC Gandhi English School,,,,,
Hardik Shetty,date unknown ,,Chittors Chetak,,Right-hand bat,,,
Jyothi Shetty,date unknown ,,Hyderabad (India),,,,,
Jayprakash Shetty,May 24  1986  Bangalore  Karnataka ,31 years 333 days,Bijapur Bulls,,Right-hand bat,Right-arm medium,,
Jayesh Ravindra Shetty,April 10  1970  Mangalore  Mysore ,48 years 12 days,Goa,,Right-hand bat,Right-arm medium,,
MN Shetty,date unknown ,,Orissa,,,,,
