GS Somal,date unknown ,,Services,,,,,
Ameya Soman,date unknown ,,MMM College Of Commerce (Pune),,,,,
Melangath Soman,January 1  1954  Cochin (now Kochi)  Kerala ,64 years 111 days,Kerala,,Right-hand bat,,Wicketkeeper,
Somanan Singh,date unknown ,,Uttar Pradesh,,,,,
Aditya Thimmaiah Somanna,April 14  1996  Mysore  Karnataka ,22 years 8 days,Bijapur Bulls,,Right-hand bat,Right-arm medium,,
Shiraguppi Somasekhar,June 14  1974  Dharwad  Karnataka ,43 years 312 days,Karnataka,,Right-hand bat,,Wicketkeeper,
Krishna Somashekar,October 29  1990  Bangalore  Karnataka ,27 years 175 days,Mysore Warriors,,Right-hand bat,Legbreak,,
Sujith Bijjahali Somasunder,December 2  1972  Bangalore  Karnataka ,45 years 141 days,India ,,Right-hand bat,Right-arm medium,,
Sistla Rama krishna Somayaji,January 14  1962  Vijayawada  Andhra Pradesh ,56 years 98 days,Andhra,,Right-hand bat,Right-arm offbreak,,
Sydenham John Somers-Cox,July 18  1895 ,,Europeans (India),,,,1972  Borrowdale  Salisbury (now Harare)  Rhodesia (aged 76 years) ,
Krishna Somshekhar,October 29  1990 ,27 years 175 days,Mysore Maharaajas,,Right-hand bat,Legbreak googly,,
