Gerald Bowden Blake,March 3  1944  East London  Cape Province ,74 years 50 days,Border,,Right-hand bat,Right-arm medium,,
Rupert H Blake,date unknown ,,Natal,,,,,
Theo Blake,September 1  1972  Port Elizabeth  Cape Province ,45 years 233 days,Eastern Transvaal,,Right-hand bat,,,
Peter B Blakemore,September 8  1934  Port Elizabeth  Cape Province ,,Griqualand West,,Right-hand bat,Left-arm medium,January 12  2003  Kimberley (aged 68 years 126 days) ,
James Manuel Blanckenberg,December 31  1892  Claremont  Cape Town  Cape Province ,,South Africa ,,Right-hand bat,Right-arm medium,Brother - ,
Nicholas Blanckenberg,1895  Claremont  Cape Town  Cape Province ,,Western Province,,,,Brother - ,
Kenneth Colin Bland,April 5  1938  Bulawayo  Rhodesia ,,Rhodesia ,,Right-hand bat,Right-arm medium,Coach,
WB Bland,date unknown ,,,,,,Umpire,
Jacques Bleeker,February 2  1996 ,22 years 79 days,Westville Boys High School,,Right-hand bat,Right-arm medium,,
Lance Francis Bleekers,August 4  1968  Wynberg  Cape Town  Cape Province ,49 years 261 days,Western Province,,Right-hand bat,,Wicketkeeper,
T Bleki,date unknown ,,Eastern Province (SACB),,,,,
Alan Geoffrey Blenkinsop,January 17  1933  Port Elizabeth  Cape Province ,85 years 95 days,Eastern Province ,,Left-hand bat,Left-arm fast-medium,,
