Mohammad Bilal,date unknown ,,Afghan Wireless Cricket Club,,Right-hand bat,Right-arm medium-fast,,
Mohammad Eshaq,February 3  2002  Paktika ,16 years 78 days,Paktika Province Under-16s,,,,,
Mohammad Farooq,February 3  2002  Logar ,16 years 78 days,Logar Province Under-16s,,,,,
Mohammad Ghafar,November 13  1997  Zabul ,20 years 160 days,Zabul Province,,Right-hand bat,Right-arm offbreak,,
Mohammad Haji,date unknown ,,Afghan Wireless Cricket Club,,Right-hand bat,Right-arm medium-fast,,
Mohammad Hassan,October 28  1998  Balkh ,19 years 176 days,Balkh Province,,Right-hand bat,Right-arm offbreak,,
Mohammad Hazrat,date unknown ,,LLU Cricket Club,,,,,
Mohammad Hilal,January 21  1997  Balkh ,21 years 91 days,Balkh Province,,Right-hand bat,Right-arm offbreak,,
Mohammad Hussain,November 21  1994  Kunar ,23 years 152 days,Kunar Province,,Right-hand bat,,,
Mohammad Ibrahim,December 20  1998 ,19 years 123 days,Afghanistan A ,Bowler,Right-hand bat,Right-arm medium-fast,,
