Abdullah Al Noman Chowdhury,November 26  1997 ,20 years 147 days,Italy Under-17s,,,,,
Edmondo Paul Ciappina,November 11  1969  Halifax  Yorkshire  England ,48 years 162 days,Italy ,,,Right-arm medium-fast,,
David Civai,November 27  1987  Italy ,30 years 146 days,Italy Under-17s ,,,,,
Alessandro Consalvi,July 6  1999 ,18 years 290 days,Italy Under-19s,,,,,
Andrea Gabriel Corbellari,June 28  1974  Cape Town  Cape Province  South Africa ,43 years 298 days,Italy,,Right-hand bat,Right-arm fast-medium,,
Troy P Crosland,May 13  1971  Sydney  New South Wales  Australia ,46 years 344 days,Italy,,Left-hand bat,Left-arm medium-fast,,
Damian Graham Crowley,May 20  1989  Cape Town  Cape Province  South Africa ,28 years 337 days,Italy ,,Right-hand bat,Slow left-arm orthodox,Wicketkeeper,
Massimo Brian Michael da Costa,April 21  1947  Bangalore  India ,71 years 1 days,Italy ,,Left-hand bat,Slow left-arm orthodox,,
Samantha Vidamelage de Mel,December 12  1965  Colombo  Ceylon ,52 years 131 days,Italy ,,,Slow left-arm orthodox,,
Gayashan Ranga Munasinghe de Silva,October 7  1986  Sri Lanka ,31 years 197 days,Italy,,Right-hand bat,Right-arm medium-fast,,
Muthumala Patabandige Inosh Neon de Silva,December 18  1992 ,25 years 125 days,Italy Under-19s,,,,,
Luis di Giglio,May 22  1989  Argentina ,28 years 335 days,Italy ,,Right-hand bat,Left-arm medium,,
Franco Esposito,date unknown ,,Italy,,,,Umpire,
