Gurbaksh Singh,date unknown ,,Delhi,,,,,
Rajneesh Naresh Gurbani,January 28  1993  Nagpur  Maharashtra ,25 years 84 days,Vidarbha ,,Right-hand bat,Right-arm medium,,
Gurcharan Singh,June 13  1935  Lahore  Punjab ,82 years 313 days,Maharaja of Patiala's XI ,,Right-hand bat,Right-arm offbreak,,
Gurdeep Kaur,March 22  1977  Punjab ,41 years 31 days,North Zone Women ,,Right-hand bat,,Wicketkeeper,
Gurdip Singh,August 2  1942 ,75 years 263 days,Northern Punjab,,,,,
Gurdit Singh,date unknown ,,Hindus ,,,,,
Gurinder Singh,February 17  1966  Ludhiana  Punjab ,52 years 64 days,Punjab,,Right-hand bat,,,
Gurinder Rajpal Singh,July 9  1992  Chandigarh ,25 years 287 days,D.A.V College (Chandigarh) ,,Right-hand bat,Slow left-arm orthodox,D.A.V College Chandigarh,
Rajendra Gurjar,December 25  1983  Alwar  Rajasthan ,34 years 118 days,Rajasthan,,Right-hand bat,,Raju,
Gurjeet Singh,date unknown ,,Jharkhand,,,,,
Gurjindar Dilanajsingh Maan,September 8  1994  Vadodara  Baroda ,23 years 226 days,Baroda ,,Right-hand bat,Right-arm offbreak,,
