Terry Leonard Beale,December 3  1953  Malta ,64 years 140 days,,,,,Umpire,
George Bean,March 7  1864  Sutton-in-Ashfield  Nottinghamshire ,,England ,,Right-hand bat,Right-arm medium,March 16  1923  Mansfield  Nottinghamshire (aged 59 years 9 days) ,
Joseph Bean,February 16  1876  Sutton-in-Ashfield  Nottinghamshire ,,Sussex,,,,January 12  1922  Sutton-in-Ashfield  Nottinghamshire (aged 45 years 330 days) ,
J Bean,date unknown ,,,,,,Umpire,
Jonathan Dobing Bean,August 20  1964  Altrincham  Cheshire ,53 years 245 days,Cheshire,,Right-hand bat,,Wicketkeeper,
Jonathon E Bean,date unknown ,,Woodhouse Grange,,,,,
John Reginald Bean,January 16  1913  Bangalore  India ,,Army,,Right-hand bat,Legbreak,August 2004  Somerset (aged 91 years) ,
Leslie Hugh Bean,February 2  1906  Burnham-on-Sea  Somerset ,,Somerset,,Right-hand bat,Legbreak googly,January 13  1988  Accra  Ghana (aged 81 years 345 days) ,
Michael John Bear,February 23  1934  Brentwood  Essex ,,Essex,,Left-hand bat,Legbreak,April 7  2000  Torquay  Devon (aged 66 years 44 days) ,
Walter Bearblock,date unknown ,,Marylebone Cricket Club,,,,October 20  1796  Hornchurch  Essex ,
