Rhys Owen,June 4  1990 ,27 years 322 days,Devonport ,,Right-hand bat,Right-arm fast-medium,,
Amanda Owens,November 16  1981  Port Macquarie  New South Wales ,36 years 157 days,New South Wales Women,,Right-hand bat,,,
Jennifer Owens,June 1  1963  Subiaco  Perth  Western Australia ,54 years 325 days,Australia Women ,,Right-hand bat,Right-arm offbreak  Legbreak,,
AJ Oxenford,date unknown ,,Queensland Country,,,,,
Bruce Nicholas James Oxenford,March 5  1960  Southport  Queensland ,58 years 48 days,Queensland,,Right-hand bat,Legbreak googly,Umpire,
Ian Bruce Oxenford,September 3  1932  Brisbane  Queensland ,85 years 231 days,Queensland,,Right-hand bat,,,
Lionel Emmanuel Oxenham,January 27  1888  Nundah  Brisbane  Queensland ,,Queensland,,Right-hand bat,,Brother - ,
Ronald Keven Oxenham,July 28  1891  Nundah  Brisbane  Queensland ,,Australia ,,Right-hand bat,Right-arm medium,Brother - ,
Zachary Trent Pacey,November 23  1982  North Ward  Townsville  Queensland ,35 years 150 days,Northern Territory ,,Right-hand bat,Right-arm medium,,
Kerry Francis Bullmore Packer,December 17  1937  Sydney  New South Wales ,,,,,,December 26  2005  Sydney  New South Wales (aged 68 years 9 days) ,
Leonard Packham,September 15  1891  Norwood  Adelaide  South Australia ,,Western Australia,,Right-hand bat,Right-arm medium,October 4  1958  Swanbourne  Western Australia (aged 67 years 19 days) ,
James Russell Packman,August 21  1979  Paddington  Sydney  New South Wales ,38 years 244 days,New South Wales,Batsman,Right-hand bat,,1.82 m ,
