William Thomas Court,1842  Sydney  New South Wales  Australia ,,Kent,,Right-hand bat,,Wicketkeeper,
Geofry William List Courtenay,December 16  1921  Castle Cary  Somerset ,,Scotland ,,Right-hand bat,,October 17  1980  Comely Bank  Edinburgh  Midlothian  Scotland (aged 58 years 306 days) ,
Peter Jeofry Searle Courtenay,March 11  1914  Weymouth  Dorset ,,Somerset,,Right-hand bat,,April 7  1959  Broadstone  Dorset (aged 45 years 27 days) ,
William Courtenay,June 19  1777  London ,,C Lennox's XI,,,,March 19  1859  Shrivenham  Berkshire (aged 81 years 273 days) ,
Courtnay,date unknown ,,Sussex,,,,,
Hannah Charlotte Courtnell,May 22  1993  Basildon  Essex ,24 years 335 days,Diamonds ,,Right-hand bat,Right-arm fast,,
Louis Courtould,date unknown ,,Gentlemen of the North,,,,October 27  1878  Westminster  London ,
Harry CJ Cousens,date unknown ,,Harrow School,,,,,
ME Cousens,date unknown ,,Harrow School,,,,,
Peter Cousens,May 15  1932  Durban  Natal  South Africa ,85 years 342 days,Essex,,Right-hand bat,Slow left-arm orthodox,,
Shaun Christopher Cousens,date unknown ,,Surrey 2nd XI ,,,,,
