Abhijit Singha Roy,February 20  1987  Kamrup  Assam ,31 years 61 days,Assam Cricket Association XI,,Left-hand bat,,,
Anukul Sudhakar Roy,November 30  1998  Saraikela Kharswan  Jharkhand ,19 years 143 days,Jharkhand Under-19s ,Allrounder,Left-hand bat,Slow left-arm orthodox,,
B Roy,date unknown ,,Jharkhand,,,,,
B Roy,date unknown ,,Orissa,,,,,
Bhaskar Roy,May 26  1967  Jamshedpur  Bihar ,50 years 331 days,Jharkhand,,Right-hand bat,,,
Brajesh Roy,June 11  1973  Dhanbad  Bihar ,44 years 315 days,Jharkhand,,Left-hand bat,Right-arm offbreak,Briju,
Bunti Bachchu Roy,November 7  1992 ,25 years 166 days,Tripura,,Right-hand bat,Right-arm medium,,
CP Roy,date unknown ,,Jharkhand,,,,,
Debabrata Roy,November 2  1979 ,38 years 171 days,Assam,,Right-hand bat,Right-arm medium,,
Debendra Roy,June 18  1971  Calcutta (now Kolkata)  Bengal ,46 years 308 days,Bengal,,Right-hand bat,Right-arm medium,,
Gobindalal Roy,August 14  1927  Kasimbazar  Bihar ,,Bengal,,,,October 27  1973  Calcutta (now Kolkata)  Bengal (aged 46 years 74 days) ,
