Sri Renganathan Sankaranayanan,August 23  1986  Tirunelveli  Tamil Nadu  India ,31 years 242 days,South East Region,,Right-hand bat,,,
Srinivasa Raghavan Santhanam,May 21  1984  Chennai  Tamil Nadu  India ,33 years 336 days,United States of America,,Right-hand bat,Right-arm medium,,
Saqib Saleem,January 1  1990  Islamabad  Pakistan ,28 years 111 days,United States of America ,,Right-hand bat,Legbreak googly,,
Stuart R Saunders,date unknown ,,Combined USA and Canada,,,,January 6  1950  Toronto  Ontario  Canada ,
Steven Sawh,date unknown ,,United States of America Under-15s,,,,,
William Henry Sayen,January 1883  St Davids  Pennsylvania ,,Gentlemen of England ,,Right-hand bat,Right-arm fast,January 1965  Princeton  New Jersey (aged 82 years) ,
Joseph Henry Scattergood,January 26  1877  Philadelphia  Pennsylvania ,,Philadelphians,,Right-hand bat,,Wicketkeeper,
John Allison Scott,May 20  1865  Huntingdon  Pennsylvania ,,American Born ,,,,August 13  1909 (aged 44 years 85 days) ,
Walter Scott,April 19  1864  Huntingdon  Pennsylvania ,,Philadelphians,,,,October 24  1907  Colorado Springs  Colorado (aged 43 years 188 days) ,
Thomas Senior,1817  Yorkshire ,,Canada and United States of America ,,,,March 7  1869  United States of America (aged 52 years) ,
Gregory Raj Sewdial,September 6  1991  Bronx  New York ,26 years 228 days,United States of America,,Right-hand bat,Right-arm offbreak,,
Niraj Shah,August 3  1982  India ,35 years 262 days,United States of America,,Right-hand bat,Right-arm offbreak,,
Samarth Harish Shah,June 19  1977  Ahmedabad  Gujarat  India ,40 years 307 days,United States of America,,Left-hand bat,Slow left-arm orthodox,,
Vishal Yogesh Shah,April 10  1989  Mumbai  India ,29 years 12 days,South West Region,,Right-hand bat,Legbreak googly,,
Yash Dipak Shah,June 7  1990  Ahmedabad  Gujarat  India ,27 years 319 days,United States of America Under-19s,,Right-hand bat,Slow left-arm orthodox,,
