Andrew Ducat,February 16  1886  Brixton  London ,,England ,,Right-hand bat,,July 23  1942  Lord's Cricket Ground  St John's Wood  London (aged 56 years 157 days) ,
DA Duckers,date unknown ,,,,,,Umpire,
Ben Matthew Duckett,October 17  1994  Farnborough  Kent ,23 years 187 days,England Under-19s ,,Left-hand bat,Right-arm offbreak,Stowe School,
Robert H Duckett,date unknown ,,,,,,Umpire,
Richard George Duckfield,July 2  1907  Maesteg  Glamorgan  Wales ,,Glamorgan,,Right-hand bat,Right-arm medium,December 30  1959  Bridgend  Glamorgan  Wales (aged 52 years 181 days) ,
Dr Frank Carter Duckworth,December 26  1939  Lytham St Annes  Lancashire ,78 years 117 days,,,,,,
George Duckworth,May 9  1901  Warrington  Lancashire ,,England ,,Right-hand bat,,Wicketkeeper,
Rebecca Duckworth,date unknown ,,Lancashire Women,,,,,
Barry Dudleston,July 16  1945  Bebington  Cheshire ,72 years 280 days,Rhodesia ,,Right-hand bat,Slow left-arm orthodox,Stockport School,
Connor M Dudley,December 1  1998  Sydney  New South Wales ,19 years 142 days,Lancashire 2nd XI ,,Right-hand bat,Right-arm bowler,,
Robert David Louis Dudley-Jones,May 26  1952  Bridgend  Glamorgan  Wales ,65 years 331 days,Glamorgan,,Right-hand bat,Right-arm medium,,
John Noble Dudlow,July 28  1796  West Malling  Kent ,,Kent,,,,August 11  1879  West Malling  Kent (aged 83 years 14 days) ,
