Mohammad Kamran,date unknown ,,Water and Power Development Authority,,,,,
Mohammad Kashif,January 2  1975  Lahore  Punjab ,43 years 110 days,Faisalabad,,Right-hand bat,Slow left-arm orthodox,,
Raja Mohammad Kashif Khan,May 20  1983  Islamabad  Punjab ,34 years 337 days,Islamabad Cricket Association,,Right-hand bat,,Wicketkeeper,
Mohammad Kashif,January 1  1983  Bahawalpur  Punjab ,35 years 111 days,Bahawalpur,,Left-hand bat,Left-arm fast-medium,,
Mohammad Kashif,December 10  1976  Kohat  North-West Frontier Province ,41 years 133 days,Abbottabad,,Right-hand bat,,Wicketkeeper,
Mohammad Kashif,March 27  1990 ,28 years 26 days,Faisalabad,,Right-hand bat,Right-arm offbreak,,
Mohammad Kashif,date unknown ,,FATA Region,,,,,
Mohammad Kashif Iqbal,January 10  1983 ,35 years 102 days,Sargodha,,Left-hand bat,Slow left-arm orthodox,,
Mohammad Khalid,September 14  1971  Lahore  Punjab ,46 years 220 days,Bahawalpur ,,Right-hand bat,Right-arm offbreak,,
Mohammad Khalid,August 7  1968  Jhang  Punjab ,49 years 258 days,Faisalabad,,Right-hand bat,,,
