John Peter Sierra,March 26  1922  Mossel Bay  Cape Province  South Africa ,,Rhodesia ,,Right-hand bat,Right-arm offbreak,May 17  2000  East London  Cape Province  South Africa (aged 78 years 52 days) ,
B Siginya,date unknown ,,,,,,Umpire,
Sikandar Raza Butt,April 24  1986  Sialkot  Punjab  Pakistan ,31 years 363 days,Zimbabwe ,Batting allrounder,Right-hand bat,Right-arm offbreak,,
Tinoteda Sikwembwe,February 16  1995  Harare ,23 years 65 days,Mid West Rhinos,,Right-hand bat,Right-arm medium,,
Ernest Stewart Sim,circa 1908  Bulawayo ,,Rhodesia,,Left-hand bat,Right-arm medium  Right-arm offbreak,January 26  1959  Salisbury (now Harare) ,
Sean Simeti,October 7  2003 ,14 years 197 days,Zimbabwe Under-13s,,Right-hand bat,,,
Gareth Gwilyn Sims,July 20  1983  Harare ,34 years 276 days,Manicaland,,Right-hand bat,Right-arm offbreak,,
Richard William Sims,July 23  1979  Chinhoyi  Mashonaland ,38 years 273 days,Zimbabwe ,,Right-hand bat,Right-arm offbreak,,
Nicholas N. Singo,August 6  1959  Bulawayo ,58 years 259 days,,,,,Umpire  Referee,
Tawanda Sithole,date unknown ,,Zimbabwe Under-13s,,Right-hand bat,Right-arm medium,Prince Edward,
Percival Sizara,date unknown ,,,,,,Umpire,
Wisdom Thomas Siziba,October 26  1980  Bulawayo ,,Matabeleland ,,Right-hand bat,,Emakhandeni High School,
