Muhammad Ajmal,date unknown ,,DHL United,,,,,
Muhammad Ajmal,date unknown ,,DHL Sharjah,,,,,
Muhammad Akbar,date unknown ,,Al Gurg CC,,,,,
Muhammad Akmal,date unknown ,,SIB Warriors,,,,,
Muhammad Ali,date unknown ,,Team Mavericks,,,,,
Muhammad Ali,date unknown ,,United Arab Emirates Under-19s,,,,,
Muhammad Anas,May 29  1987  India ,30 years 328 days,APS,,,,,
Muhammad Anas,date unknown ,,AFS,,,,,
Muhammad Arfan,March 20  1986  Pakistan ,32 years 33 days,DXB Warriors,,,,,
Muhammad Asad,date unknown ,,AL Naboodah Tigers,,,,,
Muhammad Ashar,date unknown ,,SS Lootah Spinners,,,,,
Muhammad Ashfaq,date unknown ,,DHL Sharjah,,,,,
Muhammad Asif,date unknown ,,Corner Tigers,,,,,
