Cindy Gaye Kross,January 16  1976 ,42 years 96 days,Queensland Women,,Right-hand bat,Right-arm medium,,
Nicholas James Kruger,August 14  1983  Paddington  Sydney  New South Wales ,34 years 251 days,Queensland ,,Left-hand bat,Right-arm medium,1.90 m ,
AH Kruss,date unknown ,,,,,,Umpire,
Matthew Paul Kuhnemann,September 20  1996 ,21 years 214 days,Australia Under-19s,,Left-hand bat,Slow left-arm orthodox,,
Eddie Kulesza,date unknown ,,South Australia Under-23s,,,,,
Damien Kulmar,October 26  1970  Sydney  New South Wales ,47 years 178 days,Northern Territory,,Right-hand bat,,,
C Kumar,date unknown ,,,,,,Umpire,
Michael Gerhart Kumutat,December 1  1968  Fairfield  Sydney ,49 years 142 days,,,,,Umpire,
Ajay J Kurmi,date unknown ,,Northern Territory Chief Minister's XI,,,Right-arm offbreak,,
Jeremy Kuru,date unknown ,,Northern Territory Cricket Association Invitation XI,,,,,
Nick Mark Kurzel,September 8  1983  Adelaide  South Australia ,34 years 226 days,South Australia Under-17s,,Right-hand bat,,,
