Nathan Ellis,September 22  1994  Greenacre  New South Wales ,23 years 212 days,Australian Universities ,,Right-hand bat,Right-arm medium,,
Percy Arthur Ellis,May 10  1906  Abbotsford  Melbourne  Victoria ,,Victoria,,Right-hand bat,,April 25  1992  Lilydale  Victoria (aged 85 years 351 days) ,
Reginald Newnham Ellis,February 22  1891  Randwick  Sydney  New South Wales ,,Victoria,,Right-hand bat,,May 26  1959  Cheltenham  Victoria (aged 68 years 93 days) ,
Reginald Sidney Ellis,November 26  1917  Angaston  South Australia ,100 years 147 days,Australian Services ,,Left-hand bat,Slow left-arm orthodox,,
Herbert Alfred Rhys Elphinstone,February 25  1905  Leichhardt  Sydney  New South Wales ,,,,,,Umpire,
David Ryan Else,February 12  1973  Bunbury  Western Australia ,45 years 69 days,Australian Country XI ,,Left-hand bat,,Wicketkeeper,
D Elstone,date unknown ,,,,,,Umpire,
William Keith Eltham,October 11  1886  Hobart  Tasmania ,,Tasmania,,Right-hand bat,Right-arm medium,December 31  1916  near Lesboeuts  France (aged 30 years 81 days) ,
Denise Emerson,May 13  1960  Subiaco  Perth  Western Australia ,57 years 344 days,Australia Women ,,Right-hand bat,,Husband - ,
David Alan Emerson,March 10  1961  Malvern  Melbourne  Victoria ,57 years 43 days,Victoria,,Left-hand bat,Slow left-arm chinaman,,
I Emerson,date unknown ,,,,,,Umpire,
Norman Leonard Emerson,October 26  1939  Ararat  Victoria ,78 years 178 days,Victoria,,Right-hand bat,Right-arm fast-medium,,
