John Michael Arthur,May 17  1968  Johannesburg  Transvaal ,49 years 340 days,Griqualand West ,,Right-hand bat,,Coach,
Mario Arthur,date unknown ,,Knights Cubs,,,,,
M Arthur,date unknown ,,Griqualand West Women,,,,,
Mario Charles Arthur,February 23  1972  Kimberley  Cape Province ,46 years 58 days,Griqualand West,,Right-hand bat,Right-arm medium,Brother - ,
Nathan Oswald Arthur,March 29  1977  Kimberley ,41 years 24 days,Eagles ,,Right-hand bat,Legbreak,Brother - ,
John Anchitel Ashburnham,February 6  1865 ,,Eastern Province,,,,June 20  1939  Durban  Natal (aged 74 years 134 days) ,
William Hare Ashley,February 10  1862  Mowbray  Cape Colony ,,South Africa ,,Right-hand bat,Left-arm medium,July 14  1930  Plumtree  Rhodesia (aged 68 years 154 days) ,
B H Ashley-Cooper,date unknown ,,South African Universities,,,,,
Richard Gerald Alfred Ashman,November 24  1899  Westminster  London  England ,,Orange Free State,,,,Umpire,
GM Asmal,date unknown ,,Natal (SACB),,,,,
