Aslam Hossain,date unknown ,,Surjo Torun Club,,,,,
Aslam Khan,December 23  1988  Khulna ,29 years 120 days,Khulna Division ,,Right-hand bat,Left-arm slow-medium,,
Asraful Alom Asif,date unknown ,,City Club,,,,,
Asraful Zahid,May 5  1995 ,22 years 352 days,European University of Bangladesh,,Right-hand bat,,,
Ataur Rahman Fahim,January 1  1999  Sumanganj ,19 years 111 days,Sylhet Divison Under-18s,,Left-hand bat,,,
Athar Ali Khan,February 10  1962  Dacca ,56 years 71 days,Bangladesh,,Right-hand bat,Right-arm medium,Commentator,
Mohammad Atiar Rahman,January 5  1974  Dhaka ,44 years 107 days,Bangladesh ,,Right-hand bat,,Wicketkeeper,
Atiqur Rahman,date unknown ,,Sylhet Division,,,,,
Atiqur Rahman Atiq,date unknown ,,,,,,,
Atiqur Rahman,date unknown ,,Young Cricketers,,,,,
