Reva Arora,September 12  1991 ,26 years 222 days,India Green Women ,,Right-hand bat,,,
Rajiv Arora,August 14  1959  Amritsar  Punjab ,58 years 251 days,Jharkhand,,Right-hand bat,Right-arm medium,,
Ravi Arora,May 31  1985  Sonipat  Haryana ,32 years 326 days,Uttar Pradesh,,Right-hand bat,Right-arm offbreak,,
Rewa Arora,date unknown ,,Punjab Women (India),,,,,
Amit Naresh Aroskar,May 17  1978  Bombay (now Mumbai)  Maharashtra ,39 years 340 days,Mumbai,,Right-hand bat,,,
Rishi Tushar Arothe,November 12  1995  Vadodara ,22 years 161 days,Baroda Under-19s ,,Left-hand bat,Left-arm medium,Father - ,
Tushar Bhalchandra Arothe,September 17  1966  Baroda  Gujarat ,51 years 217 days,Baroda,,Left-hand bat,Right-arm offbreak,Son - ,
Arpita Mohanty,January 2  1982  Bhubaneswar  Orissa ,36 years 110 days,Orissa Women,,Right-hand bat,Right-arm medium,Buna,
Arpita Patel,July 15  1982  Baroda  Gujarat ,35 years 281 days,Gujarat Women,,Left-hand bat,Left-arm slow-medium,Appu,
Arpit Singh Pannu,April 24  1996  Chandigarh  Punjab ,21 years 363 days,Punjab ,,Right-hand bat,Right-arm offbreak,,
Arram,date unknown ,,United Provinces,,,,,
G Arratoon,date unknown ,,Bengal,,Right-hand bat,Right-arm offbreak,,
Arsdeep Singh Brar,December 27  1993 ,24 years 116 days,Mangalore United,,Right-hand bat,Right-arm offbreak,,
Arshad Ayub,August 2  1958  Hyderabad  Andhra Pradesh ,59 years 263 days,India ,,Right-hand bat,Right-arm offbreak,,
