Amarasinghe Mudalige Nuwan Priyankara,December 10  1976  Marawila ,41 years 133 days,Chilaw Marians Cricket Club,,Left-hand bat,Legbreak,,
Gulawitage Sidath Priyankara,September 20  1983  Unawatuna ,34 years 214 days,Sri Lanka Air Force Sports Club,Bowler,Right-hand bat,Right-arm medium-fast,Vidyaloka College  Galle,
H A Priyankara,date unknown ,,,,,,Umpire,
Milleniage Milinda Priyankara,April 28  1982  Colombo ,35 years 359 days,Isipathana College,,Right-hand bat,Right-arm fast-medium,,
Ranaweera Koralage Prabath Priyankara,May 28  1988  Panadura ,29 years 329 days,Colombo Cricket Club ,,Left-hand bat,Left-arm medium-fast,,
SW Nishan Priyankara,date unknown ,,,,,,,
Thilina Priyankara,date unknown ,,Sri Lanka Navy Sports Club,,,,,
Widana Gamage Sanath Priyankara,March 20  1976  Hambantota ,42 years 33 days,Sri Lanka Navy Sports Club,,Left-hand bat,Legbreak,,
Ambalangoda Liyanage Iresh Priyantha,November 2  1973  Matara ,44 years 171 days,Matara Sports Club,,Right-hand bat,Legbreak,,
