Matthew Brown,October 3  1997 ,20 years 201 days,Cambridge MCCU,,Left-hand bat,Left-arm medium,,
Malcolm Edward Osborne Brown,August 19  1961  Durban  Natal  South Africa ,56 years 246 days,Oxford University,,Right-hand bat,Right-arm medium,,
Michael James Brown,February 9  1980  Burnley  Lancashire ,38 years 72 days,Durham MCCU ,,Right-hand bat,Right-arm offbreak,Brother - ,
Michael James Brown,April 10  1986  Newcastle-under-Lyme  Staffordshire ,32 years 12 days,Derbyshire 2nd XI ,,Left-hand bat,Slow left-arm orthodox,,
Martin Leonard Brown,January 30  1960  Bristol ,58 years 82 days,Bristol Cricket Club ,,,,Umpire,
Marc Lewis Brown,March 9  1983  Bangor  Caernarvonshire  Wales ,35 years 44 days,Cumberland,,Right-hand bat,Right-arm offbreak,,
Michael Peter Brown,January 4  1990  Worcester ,28 years 108 days,Herefordshire,,Right-hand bat,Right-arm fast-medium,,
Martin Vincent Brown,May 25  1979  Welwyn Garden City  Hertfordshire ,38 years 332 days,Hertfordshire,,Right-hand bat,Right-arm medium,,
Natalie Brown,October 16  1990  St Helens  Lancashire ,27 years 188 days,Lancashire Women ,,Right-hand bat,Right-arm medium,,
N Brown,date unknown ,,Essex 2nd XI,,,,,
