Craig Anthony Copeland,January 2  1977  Cape Town  Cape Province ,41 years 110 days,Griqualand West ,,Right-hand bat,Legbreak googly,,
Mickey Copeland,April 10  2002  Port Shepstone ,16 years 12 days,North West Under-13s,,Right-hand bat,Right-arm medium,Saint Conrads,
Peter Harrison Copeland,December 27  1933  Grahamstown  Cape Province ,84 years 116 days,Eastern Province,,Right-hand bat,Slow left-arm orthodox,,
Walter Frank Copeland,May 28  1865  Stroud  Gloucestershire  England ,,Eastern Province,,,,June 28  1943  Grahamstown  Cape Province (aged 78 years 31 days) ,
Christopher John Copland,January 3  1965  Durban  Natal ,53 years 109 days,Natal,,Right-hand bat,Right-arm fast-medium,,
Raymond Morrice Crossley Copland,November 21  1930  Johannesburg  Transvaal ,87 years 152 days,Natal,,Right-hand bat,Right-arm offbreak,,
Timothy John Copland,February 18  1998 ,20 years 63 days,Hilton College,,Right-hand bat,Right-arm fast,,
Dean Coraizin,February 19  1999 ,19 years 62 days,Boland Under-13s,,Left-hand bat,Legbreak,Wicketkeeper,
John Alexander Corbett,January 10  1938  Bloemfontein  Orange Free State ,,Northerns,,Right-hand bat,Slow left-arm orthodox,Brother - ,
Peter Llewellyn Corbett,August 24  1940  Vryburg  Cape Province ,,Natal ,,Right-hand bat,,Brother - ,
Thandile Savanna Cordes,February 21  1994  Johannesburg ,24 years 60 days,Gauteng Women ,,Right-hand bat,,Wicketkeeper,
J Corin,date unknown ,,,,,,Umpire,
Joshua Corin,June 18  2002  Johannesburg ,15 years 308 days,Easterns Under-13s,,Right-hand bat,Right-arm medium,St Dunstans,
